symbol,preferred_name,alternate_name,first_use,first_kanji,status,notes
単,simple,simple_family,lesson_104,戦,family_anchor,"pass6a harvest; phon_parents=3; right_parents=5; v4_token_parents=0; sample=弾,戦,禅,箪,蝉,騨; sources=kanjivg,v4"
及,reach_out,reach_out_family,lesson_38,吸,family_anchor,"pass6a harvest; phon_parents=3; right_parents=5; v4_token_parents=0; sample=吸,扱,汲,笈,級; sources=kanjivg,v4"
叔,uncle,uncle_family,lesson_39,督,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=寂,淑,督; sources=kanjivg,v4"
呉,give,give_family,lesson_103,娯,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=娯,虞,誤; sources=kanjivg,v4"
咼,咼_family,咼_family,lesson_70,禍,family_anchor,"pass6a harvest; phon_parents=3; right_parents=3; v4_token_parents=0; sample=渦,禍,過,鍋; sources=kanjivg,v4"
夋,夋_family,夋_family,lesson_42,唆,family_anchor,"pass6a harvest; phon_parents=3; right_parents=7; v4_token_parents=0; sample=俊,唆,峻,悛,竣,酸,駿; sources=kanjivg,v4"
复,复_family,复_family,lesson_26,腹,family_anchor,"pass6a harvest; phon_parents=3; right_parents=5; v4_token_parents=0; sample=履,復,腹,複,覆; sources=kanjivg,v4"
失,lose,lose_family,lesson_46,鉄,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=秩,迭,鉄; sources=kanjivg,v4"
夹,夹_family,夹_family,lesson_68,峡,family_anchor,"pass6a harvest; phon_parents=3; right_parents=3; v4_token_parents=0; sample=峡,挟,狭; sources=kanjivg,v4"
官,bureaucrat,bureaucrat_family,lesson_69,棺,family_anchor,"pass6a harvest; phon_parents=3; right_parents=5; v4_token_parents=0; sample=棺,管,舘,菅,館; sources=kanjivg,v4"
尞,尞_family,尞_family,lesson_93,僚,family_anchor,"pass6a harvest; phon_parents=3; right_parents=4; v4_token_parents=0; sample=僚,寮,燎,療,瞭; sources=kanjivg,v4"
岡,hills,hills_family,lesson_106,鋼,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=剛,綱,鋼; sources=kanjivg,v4"
左,left,left_family,lesson_30,差,family_anchor,"pass6a harvest; phon_parents=3; right_parents=1; v4_token_parents=0; sample=佐,差,惰; sources=kanjivg,v4"
庶,commoner,commoner_family,lesson_64,遮,family_anchor,"pass6a harvest; phon_parents=3; right_parents=0; v4_token_parents=0; sample=席,度,遮; sources=kanjivg,v4"
或,some,some_family,lesson_20,域,family_anchor,"pass6a harvest; phon_parents=3; right_parents=1; v4_token_parents=0; sample=国,域,惑; sources=kanjivg,v4"
戠,戠_family,戠_family,lesson_27,識,family_anchor,"pass6a harvest; phon_parents=3; right_parents=3; v4_token_parents=0; sample=織,職,識; sources=kanjivg,v4"
戸,door,door_family,lesson_59,炉,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=所,炉,芦,雇; sources=kanjivg,v4"
扁,扁_family,扁_family,lesson_99,偏,family_anchor,"pass6a harvest; phon_parents=3; right_parents=4; v4_token_parents=0; sample=偏,篇,編,遍,騙; sources=kanjivg,v4"
才,genius,genius_family,lesson_37,財,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=在,材,財; sources=kanjivg,v4"
折,fold,fold_family,lesson_61,哲,family_anchor,"pass6a harvest; phon_parents=3; right_parents=0; v4_token_parents=0; sample=哲,誓,逝; sources=kanjivg,v4"
攸,攸_family,攸_family,lesson_16,条,family_anchor,"pass6a harvest; phon_parents=3; right_parents=1; v4_token_parents=0; sample=修,悠,条; sources=kanjivg,v4"
斉,adjusted,adjusted_family,lesson_94,剤,family_anchor,"pass6a harvest; phon_parents=3; right_parents=1; v4_token_parents=0; sample=剤,斎,済; sources=kanjivg,v4"
朿,朿_family,朿_family,lesson_23,刺,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=刺,棘,策,責; sources=kanjivg,v4"
爰,爰_family,爰_family,lesson_105,暖,family_anchor,"pass6a harvest; phon_parents=3; right_parents=4; v4_token_parents=0; sample=媛,援,暖,緩; sources=kanjivg,v4"
畾,畾_family,畾_family,lesson_23,雷,family_anchor,"pass6a harvest; phon_parents=3; right_parents=0; v4_token_parents=0; sample=塁,累,雷; sources=kanjivg,v4"
相,mutual,mutual_family,lesson_23,霜,family_anchor,"pass6a harvest; phon_parents=3; right_parents=2; v4_token_parents=0; sample=想,箱,霜; sources=kanjivg,v4"
章,chapter,chapter_family,lesson_24,商,family_anchor,"pass6a harvest; phon_parents=3; right_parents=1; v4_token_parents=0; sample=商,彰,障; sources=kanjivg,v4"
義,righteousness,righteousness_family,lesson_35,議,family_anchor,"pass6a harvest; phon_parents=3; right_parents=4; v4_token_parents=0; sample=儀,犠,蟻,議; sources=kanjivg,v4"
翟,翟_family,翟_family,lesson_31,曜,family_anchor,"pass6a harvest; phon_parents=3; right_parents=6; v4_token_parents=0; sample=擢,曜,濯,燿,耀,躍; sources=kanjivg,v4"
育,nurture,nurture_family,lesson_42,撤,family_anchor,"pass6a harvest; phon_parents=3; right_parents=0; v4_token_parents=0; sample=充,徹,撤; sources=kanjivg,v4"
