kanji,keyword,lesson_number,kml_primitives,cluster_components,collapse_to,layout_type,first_use,notes
克,overcome,6,十|兄,十|兄,,v,,pass4: harvested L06 HTML (十|兄)
小,small,6,小,小,,a,,pass2a: — -> a; pass4: harvested L06 HTML (小)
少,few,6,小|ノ,小|ノ,,v,,pass4: harvested L06 HTML (小|ノ)
大,large,6,大,大,,a,,pass2a: — -> a; pass4: harvested L06 HTML (大)
多,many,6,夕|夕,夕|夕,,v,,pass4: harvested L06 HTML (夕|夕)
夕,evening,6,夕,夕,,a,,pass2a: e -> a; pass4: harvested L06 HTML (夕)
汐,eventide,6,氵|夕,氵|夕,,h,,pass4: harvested L06 HTML (氵|夕)
外,outside,6,夕|卜,夕|卜,,h,,pass4: harvested L06 HTML (夕|卜)
名,name,6,夕|口,夕|口,,v,,pass4: harvested L06 HTML (夕|口)
石,stone,6,厂|口,厂|口,,v,,pass2a: e -> v; pass4: harvested L06 HTML (厂|口)
肖,resemblance,6,⺌|月,⺌|月,,v,,pass4: harvested L06 HTML (⺌|月)
硝,nitrate,7,石|肖,石|肖,,h,,pass4: harvested L07 HTML (石|肖)
砕,smash,7,石|九|十,石|九|十,,2r,,pass2a: h -> 2r; pass4: harvested L07 HTML (石|九|十)
砂,sand,7,石|少,石|少,,h,,pass4: harvested L07 HTML (石|少)
妬,jealousy,7,女|石,女|石,,h,,pass4: harvested L07 HTML (女|石)
削,plane,7,肖|刂,肖|刂,,h,,pass4: harvested L07 HTML (肖|刂)
光,ray,7,⺌|一|儿,⺌|一|儿,,v,,pass4: harvested L07 HTML (⺌|一|儿)
太,plump,7,大|丶,大|丶,,v,,pass2a: e -> v; pass4: harvested L07 HTML (大|丶)
器,utensil,7,口|大,口|大,,v,,pass4: harvested L07 HTML (口|大)
臭,stinking,7,自|大,自|大,,v,,pass4: harvested L07 HTML (自|大)
嗅,sniff,7,口|臭,口|臭,,h,,pass4: harvested L07 HTML (口|臭)
妙,exquisite,7,女|少,女|少,,h,,pass4: harvested L07 HTML (女|少)
省,government_ministry,7,少|目,少|目,,v,,pass4: harvested L07 HTML (少|目)
厚,thick,7,厂|日|子,厂|日|子,,v,,pass2a: e -> v; pass4: harvested L07 HTML (厂|日|子)
奇,strange,7,大|可,大|可,,v,,pass4: harvested L07 HTML (大|可)
川,river,7,川,川,,a,,pass2a: — -> a; pass4: harvested L07 HTML (川)
州,state,7,川|丶,川|丶,,h,,pass2a: — -> h; pass4: harvested L07 HTML (川|丶)
順,follow,7,川|頁,川|頁,,h,,pass4: harvested L07 HTML (川|頁)
水,water,7,水,水,,a,,pass2a: h -> a; pass4: harvested L07 HTML (水)
氷,ice,7,丶|水,丶|水,,v,,pass2a: — -> v; pass4: harvested L07 HTML (丶|水)
永,eternity,7,丶|氷,丶|氷,,v,,pass2a: — -> v; pass4: harvested L07 HTML (丶|氷)
泉,spring,8,白|水,白|水,,v,,pass4: harvested L08 HTML (白|水)
腺,gland,8,月|泉,月|泉,,h,,pass4: harvested L08 HTML (月|泉)
原,meadow,8,厂|泉,厂|泉,,ei,,pass2a: e -> ei; pass4: harvested L08 HTML (厂|泉)
願,petition,8,原|頁,原|頁,,h,,pass4: harvested L08 HTML (原|頁)
泳,swim,8,氵|永,氵|永,,h,,pass4: harvested L08 HTML (氵|永)
沼,marsh,8,氵|召,氵|召,,h,,pass4: harvested L08 HTML (氵|召)
沖,open_sea,8,氵|中,氵|中,,h,,pass4: harvested L08 HTML (氵|中)
汎,general,8,氵|凡,氵|凡,,h,,pass4: harvested L08 HTML (氵|凡)
江,creek,8,氵|エ,氵|エ,,h,,pass4: harvested L08 HTML (氵|エ)
汰,cleanse,8,氵|太,氵|太,,h,,pass4: harvested L08 HTML (氵|太)
汁,soup,8,氵|十,氵|十,,h,,pass4: harvested L08 HTML (氵|十)
沙,grains_of_sand,8,氵|少,氵|少,,h,,pass4: harvested L08 HTML (氵|少)
潮,tide,8,氵|朝,氵|朝,,h,,pass4: harvested L08 HTML (氵|朝)
源,source,8,氵|原,氵|原,,h,,pass4: harvested L08 HTML (氵|原)
活,lively,8,氵|舌,氵|舌,,h,,pass4: harvested L08 HTML (氵|舌)
消,extinguish,8,氵|肖,氵|肖,,h,,pass4: harvested L08 HTML (氵|肖)
況,condition,8,氵|兄,氵|兄,,h,,pass4: harvested L08 HTML (氵|兄)
河,large_river,8,氵|可,氵|可,,h,,pass4: harvested L08 HTML (氵|可)
泊,overnight,8,氵|白,氵|白,,h,,pass4: harvested L08 HTML (氵|白)
湖,lake,8,氵|胡,氵|胡,,h,,pass4: harvested L08 HTML (氵|胡)
測,fathom,9,氵|則,氵|則,,h,,pass4: harvested L09 HTML (氵|則)
土,soil,9,土,土,,a,,pass2a: v -> a; pass4: harvested L09 HTML (土)
吐,spit,9,口|土,口|土,,h,,pass4: harvested L09 HTML (口|土)
圧,pressure,9,厂|土,厂|土,,ei,,pass2a: e -> ei; pass4: harvested L09 HTML (厂|土)
埼,cape,9,土|奇,土|奇,,h,,pass4: harvested L09 HTML (土|奇)
垣,hedge,9,土|亘,土|亘,,h,,pass4: harvested L09 HTML (土|亘)
填,inlay,9,土|真,土|真,,h,,pass4: harvested L09 HTML (土|真)
圭,jade,9,土|土,土|土,,v,,pass4: harvested L09 HTML (土|土)
封,seal,9,圭|寸,圭|寸,,h,,pass4: harvested L09 HTML (圭|寸)
涯,horizon,9,,,,h,,render_override=manual; pass4: non-template (nested_component_layout)
寺,temple,9,土|寸,土|寸,,v,,pass4: harvested L09 HTML (土|寸)
時,time,9,日|寺,日|寺,,h,,pass4: harvested L09 HTML (日|寺)
均,level,9,土|匀,土|匀,,h,,pass4: harvested L09 HTML (土|匀)
火,fire,9,火,火,,a,,pass2a: v -> a; pass4: harvested L09 HTML (火)
炎,inflammation,9,火|火,火|火,,v,,pass4: harvested L09 HTML (火|火)
煩,anxiety,9,火|頁,火|頁,,h,,pass4: harvested L09 HTML (火|頁)
淡,faint,9,氵|炎,氵|炎,,h,,pass4: harvested L09 HTML (氵|炎)
灯,lamp,9,火|丁,火|丁,,h,,pass4: harvested L09 HTML (火|丁)
畑,farm,9,火|田,火|田,,h,,pass4: harvested L09 HTML (火|田)
災,disaster,9,巛|火,巛|火,,v,,pass4: harvested L09 HTML (巛|火)
灰,ashes,10,厂|火,厂|火,,ei,,pass2a: e -> ei; pass4: harvested L10 HTML (厂|火)
点,point,10,占|灬,占|灬,,v,,pass4: harvested L10 HTML (占|灬)
照,illuminate,10,昭|灬,昭|灬,,v,,pass4: harvested L10 HTML (昭|灬)
魚,fish,10,𠂊|田｜|灬,𠂊|田｜|灬,,v,,pass4: harvested L10 HTML (𠂊|田｜|灬)
漁,fishing,10,氵|魚,氵|魚,,h,,pass4: harvested L10 HTML (氵|魚)
里,home_village,10,田|土,田|土,,v,,pass4: harvested L10 HTML (田|土)
黒,black,10,里|灬,里|灬,,v,,pass4: harvested L10 HTML (里|灬)
墨,black_ink,10,黒|土,黒|土,,v,,pass4: harvested L10 HTML (黒|土)
鯉,carp,10,魚,魚,,h,,pass4: harvested L10 HTML (魚)
量,quantity,10,旦|里,旦|里,,v,,pass4: harvested L10 HTML (旦|里)
厘,thousandth,10,厂|里,厂|里,,ei,,pass2a: e -> ei; pass4: harvested L10 HTML (厂|里)
埋,bury,10,土|里,土|里,,h,,pass4: harvested L10 HTML (土|里)
同,same,10,冂|口,冂|口,,e,,pass4: harvested L10 HTML (冂|口)
洞,den,10,氵|同,氵|同,,h,,pass4: harvested L10 HTML (氵|同)
胴,trunk,10,月|同,月|同,,h,,pass4: harvested L10 HTML (月|同)
向,yonder,10,向,向,,a,,pass2a: e -> a; pass4: harvested L10 HTML (向)
尚,esteem,10,尚,尚,,a,,pass2a: v -> a; pass4: harvested L10 HTML (尚)
字,letter,10,宀|子,宀|子,,v,,pass4: harvested L10 HTML (宀|子)
守,guard,10,宀|寸,宀|寸,,v,,pass4: harvested L10 HTML (宀|寸)
完,complete,10,宀|元,宀|元,,v,,pass4: harvested L10 HTML (宀|元)
宣,proclaim,11,宀|亘,宀|亘,,v,,pass4: harvested L11 HTML (宀|亘)
宵,early_morning,11,宀|肖,宀|肖,,v,,pass4: harvested L11 HTML (宀|肖)
安,relax,11,宀|女,宀|女,,v,,pass4: harvested L11 HTML (宀|女)
宴,banquet,11,宀|日|女,宀|日|女,,v,,pass4: harvested L11 HTML (宀|日|女)
寄,draw_near,11,宀|奇,宀|奇,,v,,pass4: harvested L11 HTML (宀|奇)
富,wealth,11,宀|畐,宀|畐,,v,,pass4: harvested L11 HTML (宀|畐)
貯,savings,11,月|宀|丁,月|宀|丁,,2r,,pass2a: h -> 2r; pass4: harvested L11 HTML (月|宀|丁)
木,tree,11,木,木,,a,,pass2a: — -> a; pass4: harvested L11 HTML (木)
林,woods,11,木|木,木|木,,h,,pass4: harvested L11 HTML (木|木)
森,forest,11,木|木|木,木|木|木,,2t,,pass2a: v -> 2t; pass4: harvested L11 HTML (木|木|木)
桂,judas_tree,11,木|圭,木|圭,,h,,pass4: harvested L11 HTML (木|圭)
柏,oak,11,木|白,木|白,,h,,pass4: harvested L11 HTML (木|白)
枠,frame,11,木|九|十,木|九|十,,2r,,pass2a: h -> 2r; pass4: harvested L11 HTML (木|九|十)
梢,treetops,11,木|肖,木|肖,,h,,pass4: harvested L11 HTML (木|肖)
棚,shelf,11,木|朋,木|朋,,h,,pass4: harvested L11 HTML (木|朋)
杏,apricot,11,木|口,木|口,,v,,pass4: harvested L11 HTML (木|口)
桐,paulownia_tree,11,木|同,木|同,,h,,pass4: harvested L11 HTML (木|同)
植,plant,11,木|直,木|直,,h,,pass4: harvested L11 HTML (木|直)
椅,chair,11,木|奇,木|奇,,h,,pass4: harvested L11 HTML (木|奇)
枯,wither,11,木|古,木|古,,h,,pass4: harvested L11 HTML (木|古)
朴,crude,12,木|卜,木|卜,,h,,pass4: harvested L12 HTML (木|卜)
村,village,12,木|寸,木|寸,,h,,pass4: harvested L12 HTML (木|寸)
相,mutual,12,木|目,木|目,,h,,pass4: harvested L12 HTML (木|目)
机,desk,12,木|几,木|几,,h,,pass4: harvested L12 HTML (木|几)
本,book,12,本,本,,a,,pass2a: — -> a; pass4: harvested L12 HTML (本)
札,tag,12,木|乚,木|乚,,h,,pass4: harvested L12 HTML (木|乚)
暦,calendar,12,厂|木|木|日,厂|木|木|日,,h,,pass2a: e -> h; pass4: harvested L12 HTML (厂|木|木|日)
案,plan,12,宀|女|木,宀|女|木,,v,,pass4: harvested L12 HTML (宀|女|木)
燥,parch,12,火|品|木,火|品|木,,2r,,pass2a: h -> 2r; pass4: harvested L12 HTML (火|品|木)
未,not_yet,153,未,未,,a,,layout_type unknown in source; pass4: harvested L12 HTML (未); pass4: layout — -> a
末,extremity,12,末,末,,a,,pass2a: — -> a; pass4: harvested L12 HTML (末)
昧,obscure,12,日|未,日|未,,h,,pass4: harvested L12 HTML (日|未)
沫,splash,12,氵|末,氵|末,,h,,pass4: harvested L12 HTML (氵|末)
味,flavor,12,口|未,口|未,,h,,pass4: harvested L12 HTML (口|未)
妹,younger_sister,12,女|未,女|未,,h,,pass4: harvested L12 HTML (女|未)
朱,vermilion,12,´|未,´|未,,h,,pass2a: — -> h; pass4: harvested L12 HTML (´|未)
株,stocks,12,木|朱,木|朱,,h,,pass4: harvested L12 HTML (木|朱)
若,young,12,艹|右,艹|右,,v,,pass4: harvested L12 HTML (艹|右)
草,grass,12,艹|早,艹|早,,v,,pass4: harvested L12 HTML (艹|早)
苦,suffering,12,艹|古,艹|古,,v,,pass4: harvested L12 HTML (艹|古)
苛,bullying,13,艹|可,艹|可,,v,,pass4: harvested L13 HTML (艹|可)
寛,tolerant,13,宀|艹|見,宀|艹|見,,v,,pass4: harvested L13 HTML (宀|艹|見)
薄,dilute,13,氵|艹|丶|専,氵|艹|丶|専,,2r,,pass2a: v -> 2r; pass4: harvested L13 HTML (氵|艹|丶|専)
葉,leaf,13,艹|世|木,艹|世|木,,v,,pass4: harvested L13 HTML (艹|世|木)
模,imitation,13,木|艹|日|大,木|艹|日|大,,2r,,pass2a: h -> 2r; pass4: harvested L13 HTML (木|艹|日|大)
漠,vague,13,氵|艹|日|大,氵|艹|日|大,,2r,,pass2a: h -> 2r; pass4: harvested L13 HTML (氵|艹|日|大)
墓,grave,13,艹|日|大|土,艹|日|大|土,,v,,pass4: harvested L13 HTML (艹|日|大|土)
暮,livelihood,13,艹|日|大|日,艹|日|大|日,,v,,pass4: harvested L13 HTML (艹|日|大|日)
膜,membrane,13,月|艹|日|大,月|艹|日|大,,2r,,pass2a: h -> 2r; pass4: harvested L13 HTML (月|艹|日|大)
