kanji,joyo_index,radical,strokes,grade,year_added,english_meaning,on_kana,on_romaji,kun_kana,kun_romaji,unicode,svg_file,heisig_number,heisig_keyword
泰,1302,水,10,S,,peaceful,タイ,tai,,,u6cf0,u6cf0.svg,,
堆,1303,土,11,S,2010,piled high,タイ,tai,,,u5806,u5806.svg,,
袋,1304,衣,11,S,,sack,タイ,tai,ふくろ,fukuro,u888b,u888b.svg,,
逮,1305,辵,11,S,,apprehend,タイ,tai,,,u902e,u902e.svg,,
替,1306,曰,12,S,,exchange,タイ,tai,か-える、か-わる,"ka-eru, ka-waru",u66ff,u66ff.svg,,
貸,1307,貝,12,5,,lend,タイ,tai,か-す,ka-su,u8cb8,u8cb8.svg,,
隊,1308,阜,12,4,,group,タイ,tai,,,u968a,u968a.svg,,
滞,1309,水,13,S,,stagnate,タイ,tai,とどこお-る,todokoo-ru,u6ede,u6ede.svg,,
態,1310,心,14,5,,condition,タイ,tai,,,u614b,u614b.svg,,
戴,1311,戈,17,S,2010,be crowned with,タイ,tai,,,u6234,u6234.svg,,
大,1312,大,3,1,,large,ダイ、タイ,"dai, tai",おお、おお-きい、おお-いに,"oo, oo-kii, oo-ini",u5927,u5927.svg,,
代,1313,人,5,3,,substitute,ダイ、タイ,"dai, tai",か-わる、か-える、よ、しろ,"ka-waru, ka-eru, yo, shiro",u4ee3,u4ee3.svg,,
台,1314,至,5,2,,pedestal,ダイ、タイ,"dai, tai",,,u53f0,u53f0.svg,,
第,1315,竹,11,3,,ordinal number prefix,ダイ,dai,,,u7b2c,u7b2c.svg,,
題,1316,頁,18,3,,topic,ダイ,dai,,,u984c,u984c.svg,,
滝,1317,水,13,S,,waterfall,,,たき,taki,u6edd,u6edd.svg,,
宅,1318,宀,6,6,,home,タク,taku,,,u5b85,u5b85.svg,,
択,1319,手,7,S,,choose,タク,taku,,,u629e,u629e.svg,,
沢,1320,水,7,S,,swamp,タク,taku,さわ,sawa,u6ca2,u6ca2.svg,,
卓,1321,十,8,S,,eminent,タク,taku,,,u5353,u5353.svg,,
拓,1322,手,8,S,,clear (the land),タク,taku,,,u62d3,u62d3.svg,,
託,1323,言,10,S,,consign,タク,taku,,,u8a17,u8a17.svg,,
濯,1324,水,17,S,1981,laundry,タク,taku,,,u6fef,u6fef.svg,,
諾,1325,言,15,S,,consent,ダク,daku,,,u8afe,u8afe.svg,,
濁,1326,水,16,S,,voiced,ダク,daku,にご-る、にご-す,"nigo-ru, nigo-su",u6fc1,u6fc1.svg,,
但,1327,人,7,S,,however,,,ただ-し,tada-shi,u4f46,u4f46.svg,,
達,1328,辵,12,4,,attain,タツ,tatsu,,,u9054,u9054.svg,,
脱,1329,肉,11,S,,undress,ダツ,datsu,ぬ-ぐ、ぬ-げる,"nu-gu, nu-geru",u8131,u8131.svg,,
奪,1330,大,14,S,,rob,ダツ,datsu,うば-う,uba-u,u596a,u596a.svg,,
棚,1331,木,12,S,1981,shelf,,,たな,tana,u68da,u68da.svg,,
誰,1332,言,15,S,2010,who (question word),,,だれ,dare,u8ab0,u8ab0.svg,,
丹,1333,丶,4,S,,cinnabar,タン,tan,,,u4e39,u4e39.svg,,
旦,1334,日,5,S,2010,daybreak,タン、ダン,"tan, dan",,,u65e6,u65e6.svg,,
担,1335,手,8,6,,shouldering,タン,tan,かつ-ぐ、にな-う,"katsu-gu, nina-u",u62c5,u62c5.svg,,
単,1336,口,9,4,,simple,タン,tan,,,u5358,u5358.svg,,
炭,1337,火,9,3,,charcoal,タン,tan,すみ,sumi,u70ad,u70ad.svg,,
胆,1338,肉,9,S,,gall bladder,タン,tan,,,u80c6,u80c6.svg,,
探,1339,手,11,6,,grope,タン,tan,さぐ-る、さが-す,"sagu-ru, saga-su",u63a2,u63a2.svg,,
淡,1340,水,11,S,,thin,タン,tan,あわ-い,awa-i,u6de1,u6de1.svg,,
短,1341,矢,12,3,,short,タン,tan,みじか-い,mijika-i,u77ed,u77ed.svg,,
嘆,1342,口,13,S,,sigh,タン,tan,なげ-く、なげ-かわしい,"nage-ku, nage-kawashii",u5606,u5606.svg,,
端,1343,立,14,S,,edge,タン,tan,はし、は、はた,"hashi, ha, hata",u7aef,u7aef.svg,,
