kanji,joyo_index,radical,strokes,grade,year_added,english_meaning,on_kana,on_romaji,kun_kana,kun_romaji,unicode,svg_file,heisig_number,heisig_keyword
賦,1757,貝,15,S,,levy,フ,fu,,,u8ce6,u8ce6.svg,,
譜,1758,言,19,S,,musical score,フ,fu,,,u8b5c,u8b5c.svg,,
侮,1759,人,8,S,,scorn,ブ,bu,あなど-る,anado-ru,u4fae,u4fae.svg,,
武,1760,止,8,5,,military,ブ、ム,"bu, mu",,,u6b66,u6b66.svg,,
部,1761,邑,11,3,,part,ブ,bu,,,u90e8,u90e8.svg,,
舞,1762,舛,15,S,,dance,ブ,bu,ま-う、まい,"ma-u, mai",u821e,u821e.svg,,
封,1763,寸,9,S,,seal,フウ、ホウ,"fū, hō",,,u5c01,u5c01.svg,,
風,1764,風,9,2,,wind,フウ、（フ）,"fū, (fu)",かぜ、（かざ）,"kaze, (kaza)",u98a8,u98a8.svg,,
伏,1765,人,6,S,,prostrated,フク,fuku,ふ-せる、ふ-す,"fu-seru, fu-su",u4f0f,u4f0f.svg,,
服,1766,月,8,3,,clothes,フク,fuku,,,u670d,u670d.svg,,
副,1767,刀,11,4,,vice,フク,fuku,,,u526f,u526f.svg,,
幅,1768,巾,12,S,,breadth,フク,fuku,はば,haba,u5e45,u5e45.svg,,
復,1769,彳,12,5,,again,フク,fuku,,,u5fa9,u5fa9.svg,,
福,1770,示,13,3,,luck,フク,fuku,,,u798f,u798f.svg,,
腹,1771,肉,13,6,,abdomen,フク,fuku,はら,hara,u8179,u8179.svg,,
複,1772,衣,14,5,,duplicate,フク,fuku,,,u8907,u8907.svg,,
覆,1773,襾,18,S,,capsize,フク,fuku,おお-う、くつがえ-す、くつがえ-る,"oo-u, kutsugae-su, kutsugae-ru",u8986,u8986.svg,,
払,1774,手,5,S,,pay,フツ,futsu,はら-う,hara-u,u6255,u6255.svg,,
沸,1775,水,8,S,,seethe,フツ,futsu,わ-く、わ-かす,"wa-ku, wa-kasu",u6cb8,u6cb8.svg,,
仏,1776,人,4,5,,Buddha,ブツ,butsu,ほとけ,hotoke,u4ecf,u4ecf.svg,,
物,1777,牛,8,3,,thing,ブツ、モツ,"butsu, motsu",もの,mono,u7269,u7269.svg,,
粉,1778,米,10,5,,flour,フン,fun,こ、こな,"ko, kona",u7c89,u7c89.svg,,
紛,1779,糸,10,S,,distract,フン,fun,まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい,"magi-reru, magi-rasu, magi-rawasu, magi-rawashii",u7d1b,u7d1b.svg,,
雰,1780,雨,12,S,1981,atmosphere,フン,fun,,,u96f0,u96f0.svg,,
噴,1781,口,15,S,,erupt,フン,fun,ふ-く,fu-ku,u5674,u5674.svg,,
墳,1782,土,15,S,,tomb,フン,fun,,,u58b3,u58b3.svg,,
憤,1783,心,15,S,,aroused,フン,fun,いきどお-る,ikidoo-ru,u61a4,u61a4.svg,,
奮,1784,大,16,6,,stirred up,フン,fun,ふる-う,furu-u,u596e,u596e.svg,,
分,1785,刀,4,2,,"part, minute of time",ブン、フン、ブ,"bun, fun, bu",わ-ける、わ-かれる、わ-かる、わ-かつ,"wa-keru, wa-kareru, wa-karu, wa-katsu",u5206,u5206.svg,,
文,1786,文,4,1,,writing,ブン、モン,"bun, mon",ふみ,fumi,u6587,u6587.svg,,
聞,1787,耳,14,2,,hear,ブン、モン,"bun, mon",き-く、き-こえる,"ki-ku, ki-koeru",u805e,u805e.svg,,
丙,1788,一,5,S,,third class,ヘイ,hei,,,u4e19,u4e19.svg,,
平,1789,干,5,3,,flat,ヘイ、ビョウ,"hei, byō",たい-ら、ひら,"tai-ra, hira",u5e73,u5e73.svg,,
兵,1790,八,7,4,,soldier,ヘイ、ヒョウ,"hei, hyō",,,u5175,u5175.svg,,
併,1791,人,8,S,,join,ヘイ,hei,あわ-せる,awa-seru,u4f75,u4f75.svg,,
並,1792,立,8,6,,line-up,ヘイ,hei,なみ、なら-べる、なら-ぶ、なら-びに,"nami, nara-beru, nara-bu, nara-bini",u4e26,u4e26.svg,,
柄,1793,木,9,S,,design,ヘイ,hei,がら、え,"gara, e",u67c4,u67c4.svg,,
陛,1794,阜,10,6,,highness,ヘイ,hei,,,u965b,u965b.svg,,
閉,1795,門,11,6,,closed,ヘイ,hei,と-じる、と-ざす、し-める、し-まる,"to-jiru, to-zasu, shi-meru, shi-maru",u9589,u9589.svg,,
塀,1796,土,12,S,1981,fence,ヘイ,hei,,,u5840,u5840.svg,,
幣,1797,巾,15,S,,cash,ヘイ,hei,,,u5e63,u5e63.svg,,
弊,1798,廾,15,S,,abuse,ヘイ,hei,,,u5f0a,u5f0a.svg,,
蔽,1799,艸,15,S,2010,cover,ヘイ,hei,,,u853d,u853d.svg,,
餅,1800,食,15,S,2010,mochi rice cake,ヘイ,hei,もち,mochi,u9905,u9905.svg,,
米,1801,米,6,2,,rice,ベイ、マイ,"bei, mai",こめ,kome,u7c73,u7c73.svg,,
壁,1802,土,16,S,,wall,ヘキ,heki,かべ,kabe,u58c1,u58c1.svg,,
璧,1803,玉,18,S,2010,sphere,ヘキ,heki,,,u74a7,u74a7.svg,,
癖,1804,疒,18,S,,mannerism,ヘキ,heki,くせ,kuse,u7656,u7656.svg,,
別,1805,刀,7,4,,separate,ベツ,betsu,わか-れる,waka-reru,u5225,u5225.svg,,
蔑,1806,艸,14,S,2010,ignore,ベツ,betsu,さげす-む,sagesu-mu,u8511,u8511.svg,,
片,1807,片,4,6,,one-sided,ヘン,hen,かた,kata,u7247,u7247.svg,,
辺,1808,辵,5,4,,environs,ヘン,hen,あた-り、べ,"ata-ri, be",u8fba,u8fba.svg,,
返,1809,辵,7,3,,return,ヘン,hen,かえ-す、かえ-る,"kae-su, kae-ru",u8fd4,u8fd4.svg,,
変,1810,言,9,4,,change,ヘン,hen,か-わる、か-える,"ka-waru, ka-eru",u5909,u5909.svg,,
偏,1811,人,11,S,,partial,ヘン,hen,かたよ-る,katayo-ru,u504f,u504f.svg,,
遍,1812,辵,12,S,,everywhere,ヘン,hen,,,u904d,u904d.svg,,
編,1813,糸,15,5,,compile,ヘン,hen,あ-む,a-mu,u7de8,u7de8.svg,,
弁,1814,辛,5,5,,valve,ベン,ben,,,u5f01,u5f01.svg,,
便,1815,人,9,4,,convenience,ベン、ビン,"ben, bin",たよ-り,tayo-ri,u4fbf,u4fbf.svg,,
勉,1816,力,10,3,,exertion,ベン,ben,,,u52c9,u52c9.svg,,
歩,1817,止,8,2,,walk,ホ、ブ、（フ）,"ho, bu, (fu)",ある-く、あゆ-む,"aru-ku, ayu-mu",u6b69,u6b69.svg,,
保,1818,人,9,5,,preserve,ホ,ho,たも-つ,tamo-tsu,u4fdd,u4fdd.svg,,
哺,1819,口,10,S,2010,suckle,ホ,ho,,,u54fa,u54fa.svg,,
捕,1820,手,10,S,,catch,ホ,ho,と-らえる、と-らわれる、と-る、つか-まえる、つか-まる,"to-raeru, to-rawareru, to-ru, tsuka-maeru, tsuka-maru",u6355,u6355.svg,,
補,1821,衣,12,6,,supplement,ホ,ho,おぎな-う,ogina-u,u88dc,u88dc.svg,,
舗,1822,舌,15,S,,pavement,ホ,ho,,,u8217,u8217.svg,,
母,1823,毋,5,2,,mother,ボ,bo,はは,haha,u6bcd,u6bcd.svg,,
募,1824,力,12,S,,recruit,ボ,bo,つの-る,tsuno-ru,u52df,u52df.svg,,
墓,1825,土,13,5,,grave,ボ,bo,はか,haka,u5893,u5893.svg,,
慕,1826,心,14,S,,pining,ボ,bo,した-う,shita-u,u6155,u6155.svg,,
暮,1827,日,14,6,,livelihood,ボ,bo,く-れる、く-らす,"ku-reru, ku-rasu",u66ae,u66ae.svg,,
簿,1828,竹,19,S,,register,ボ,bo,,,u7c3f,u7c3f.svg,,
方,1829,方,4,2,,direction,ホウ,hō,かた,kata,u65b9,u65b9.svg,,
包,1830,勹,5,4,,wrap,ホウ,hō,つつ-む,tsutsu-mu,u5305,u5305.svg,,
芳,1831,艸,7,S,,perfume,ホウ,hō,かんば-しい,kanba-shii,u82b3,u82b3.svg,,
邦,1832,邑,7,S,,home country,ホウ,hō,,,u90a6,u90a6.svg,,
奉,1833,大,8,S,,observance,ホウ、（ブ）,"hō, (bu)",たてまつ-る,tatematsu-ru,u5949,u5949.svg,,
宝,1834,宀,8,6,,treasure,ホウ,hō,たから,takara,u5b9d,u5b9d.svg,,
抱,1835,手,8,S,,embrace,ホウ,hō,だ-く、いだ-く、かか-える,"da-ku, ida-ku, kaka-eru",u62b1,u62b1.svg,,
放,1836,攴,8,3,,release,ホウ,hō,はな-す、はな-つ、はな-れる、ほう-る,"hana-su, hana-tsu, hana-reru, hō-ru",u653e,u653e.svg,,
法,1837,水,8,4,,method,ホウ、（ハッ）、（ホッ）,"hō, (ha'), (ho')",,,u6cd5,u6cd5.svg,,
泡,1838,水,8,S,1981,bubbles,ホウ,hō,あわ,awa,u6ce1,u6ce1.svg,,
胞,1839,肉,9,S,,placenta,ホウ,hō,,,u80de,u80de.svg,,
俸,1840,人,10,S,1981,salary,ホウ,hō,,,u4ff8,u4ff8.svg,,
倣,1841,人,10,S,,emulate,ホウ,hō,なら-う,nara-u,u5023,u5023.svg,,
峰,1842,山,10,S,,summit,ホウ,hō,みね,mine,u5cf0,u5cf0.svg,,
砲,1843,石,10,S,,cannon,ホウ,hō,,,u7832,u7832.svg,,
崩,1844,山,11,S,,crumble,ホウ,hō,くず-れる、くず-す,"kuzu-reru, kuzu-su",u5d29,u5d29.svg,,
訪,1845,言,11,6,,visit,ホウ,hō,おとず-れる、たず-ねる,"otozu-reru, tazu-neru",u8a2a,u8a2a.svg,,
報,1846,土,12,5,,report,ホウ,hō,むく-いる,muku-iru,u5831,u5831.svg,,
蜂,1847,虫,13,S,2010,bee,ホウ,hō,はち,hachi,u8702,u8702.svg,,
豊,1848,豆,13,5,,bountiful,ホウ,hō,ゆた-か,yuta-ka,u8c4a,u8c4a.svg,,
飽,1849,食,13,S,,sated,ホウ,hō,あ-きる、あ-かす,"a-kiru, a-kasu",u98fd,u98fd.svg,,
褒,1850,衣,15,S,1981,praise,ホウ,hō,ほ-める,ho-meru,u8912,u8912.svg,,
縫,1851,糸,16,S,,sew,ホウ,hō,ぬ-う,nu-u,u7e2b,u7e2b.svg,,
亡,1852,亠,3,6,,deceased,ボウ、（モウ）,"bō, (mō)",な-い,na-i,u4ea1,u4ea1.svg,,
乏,1853,丿,4,S,,scarce,ボウ,bō,とぼ-しい,tobo-shii,u4e4f,u4e4f.svg,,
忙,1854,心,6,S,,busy,ボウ,bō,いそが-しい,isoga-shii,u5fd9,u5fd9.svg,,
坊,1855,土,7,S,,boy,ボウ、（ボッ）,"bō, (bo')",,,u574a,u574a.svg,,
妨,1856,女,7,S,,disturb,ボウ,bō,さまた-げる,samata-geru,u59a8,u59a8.svg,,
忘,1857,心,7,6,,forget,ボウ,bō,わす-れる,wasu-reru,u5fd8,u5fd8.svg,,
防,1858,阜,7,5,,prevent,ボウ,bō,ふせ-ぐ,fuse-gu,u9632,u9632.svg,,
房,1859,戶,8,S,,tassel,ボウ,bō,ふさ,fusa,u623f,u623f.svg,,
肪,1860,肉,8,S,,obese,ボウ,bō,,,u80aa,u80aa.svg,,
某,1861,木,9,S,,so-and-so,ボウ,bō,,,u67d0,u67d0.svg,,
冒,1862,冂,9,S,,risk,ボウ,bō,おか-す,oka-su,u5192,u5192.svg,,
剖,1863,刀,10,S,,divide,ボウ,bō,,,u5256,u5256.svg,,
紡,1864,糸,10,S,,spinning,ボウ,bō,つむ-ぐ,tsumu-gu,u7d21,u7d21.svg,,
望,1865,月,11,4,,hope,ボウ、モウ,"bō, mō",のぞ-む,nozo-mu,u671b,u671b.svg,,
傍,1866,人,12,S,,bystander,ボウ,bō,かたわ-ら,katawa-ra,u508d,u508d.svg,,
帽,1867,巾,12,S,,cap,ボウ,bō,,,u5e3d,u5e3d.svg,,
棒,1868,木,12,6,,rod,ボウ,bō,,,u68d2,u68d2.svg,,
貿,1869,貝,12,5,,trade,ボウ,bō,,,u8cbf,u8cbf.svg,,
貌,1870,豸,14,S,2010,appearance,ボウ,bō,,,u8c8c,u8c8c.svg,,
暴,1871,日,15,5,,outburst,ボウ、（バク）,"bō, (baku)",あば-く、あば-れる,"aba-ku, aba-reru",u66b4,u66b4.svg,,
膨,1872,肉,16,S,,swell,ボウ,bō,ふく-らむ、ふく-れる,"fuku-ramu, fuku-reru",u81a8,u81a8.svg,,
謀,1873,言,16,S,,conspire,ボウ、（ム）,"bō, (mu)",はか-る,haka-ru,u8b00,u8b00.svg,,
頰,1874,頁,16,S,2010,cheek,,,ほお,hoo,u9830,u9830.svg,,
北,1875,匕,5,2,,north,ホク,hoku,きた,kita,u5317,u5317.svg,,
木,1876,木,4,1,,tree,ボク、モク,"boku, moku",き、（こ）,"ki, (ko)",u6728,u6728.svg,,
朴,1877,木,6,S,1981,crude,ボク,boku,,,u6734,u6734.svg,,
牧,1878,牛,8,4,,breed,ボク,boku,まき,maki,u7267,u7267.svg,,
睦,1879,目,13,S,2010,harmonious,ボク,boku,,,u7766,u7766.svg,,
僕,1880,人,14,S,1981,me,ボク,boku,,,u50d5,u50d5.svg,,
墨,1881,土,14,S,,black ink,ボク,boku,すみ,sumi,u58a8,u58a8.svg,,
撲,1882,手,15,S,,slap,ボク,boku,,,u64b2,u64b2.svg,,
没,1883,水,7,S,,drown,ボツ,botsu,,,u6ca1,u6ca1.svg,,
勃,1884,力,9,S,2010,rise,ボツ,botsu,,,u52c3,u52c3.svg,,
堀,1885,土,11,S,1981,ditch,,,ほり,hori,u5800,u5800.svg,,
本,1886,木,5,1,,book,ホン,hon,もと,moto,u672c,u672c.svg,,
奔,1887,大,8,S,,bustle,ホン,hon,,,u5954,u5954.svg,,
翻,1888,飛,18,S,,flip,ホン,hon,ひるがえ-る、ひるがえ-す,"hirugae-ru, hirugae-su",u7ffb,u7ffb.svg,,
凡,1889,几,3,S,,mediocre,ボン、（ハン）,"bon, (han)",,,u51e1,u51e1.svg,,
盆,1890,皿,9,S,,basin,ボン,bon,,,u76c6,u76c6.svg,,
麻,1891,麻,11,S,,hemp,マ,ma,あさ,asa,u9ebb,u9ebb.svg,,
摩,1892,手,15,S,,chafe,マ,ma,,,u6469,u6469.svg,,
磨,1893,石,16,S,1981,grind,マ,ma,みが-く,miga-ku,u78e8,u78e8.svg,,
魔,1894,鬼,21,S,,witch,マ,ma,,,u9b54,u9b54.svg,,
毎,1895,毋,6,2,,every,マイ,mai,,,u6bce,u6bce.svg,,
妹,1896,女,8,2,,younger sister,マイ,mai,いもうと,imōto,u59b9,u59b9.svg,,
枚,1897,木,8,6,,sheet of...,マイ,mai,,,u679a,u679a.svg,,
昧,1898,日,9,S,2010,foolish,マイ,mai,,,u6627,u6627.svg,,
埋,1899,土,10,S,,bury,マイ,mai,う-める、う-まる、う-もれる,"u-meru, u-maru, u-moreru",u57cb,u57cb.svg,,
幕,1900,巾,13,6,,curtain,マク、バク,"maku, baku",,,u5e55,u5e55.svg,,
膜,1901,肉,14,S,,membrane,マク,maku,,,u819c,u819c.svg,,
枕,1902,木,8,S,2010,pillow,,,まくら,makura,u6795,u6795.svg,,
又,1903,又,2,S,,or again,,,また,mata,u53c8,u53c8.svg,,
末,1904,木,5,4,,end,マツ、バツ,"matsu, batsu",すえ,sue,u672b,u672b.svg,,
抹,1905,手,8,S,1981,rub,マツ,matsu,,,u62b9,u62b9.svg,,
万,1906,艸,3,2,,ten thousand,マン、バン,"man, ban",,,u4e07,u4e07.svg,,
満,1907,水,12,4,,full,マン,man,み-ちる、み-たす,"mi-chiru, mi-tasu",u6e80,u6e80.svg,,
慢,1908,心,14,S,,ridicule,マン,man,,,u6162,u6162.svg,,
漫,1909,水,14,S,,cartoon,マン,man,,,u6f2b,u6f2b.svg,,
未,1910,木,5,4,,not yet,ミ,mi,,,u672a,u672a.svg,,
味,1911,口,8,3,,flavor,ミ,mi,あじ、あじ-わう,"aji, aji-wau",u5473,u5473.svg,,
魅,1912,鬼,15,S,,fascination,ミ,mi,,,u9b45,u9b45.svg,,
岬,1913,山,8,S,1981,headland,,,みさき,misaki,u5cac,u5cac.svg,,
密,1914,宀,11,6,,secrecy,ミツ,mitsu,,,u5bc6,u5bc6.svg,,
蜜,1915,虫,14,S,2010,honey,ミツ,mitsu,,,u871c,u871c.svg,,
脈,1916,肉,10,5,,vein,ミャク,myaku,,,u8108,u8108.svg,,
妙,1917,女,7,S,,exquisite,ミョウ,myō,,,u5999,u5999.svg,,
民,1918,氏,5,4,,people,ミン,min,たみ,tami,u6c11,u6c11.svg,,
眠,1919,目,10,S,,sleep,ミン,min,ねむ-る、ねむ-い,"nemu-ru, nemu-i",u7720,u7720.svg,,
矛,1920,矛,5,S,,halberd,ム,mu,ほこ,hoko,u77db,u77db.svg,,
務,1921,力,11,5,,duty,ム,mu,つと-める、つと-まる,"tsuto-meru, tsuto-maru",u52d9,u52d9.svg,,
無,1922,火,12,4,,nothing,ム、ブ,"mu, bu",な-い,na-i,u7121,u7121.svg,,
夢,1923,夕,13,5,,dream,ム,mu,ゆめ,yume,u5922,u5922.svg,,
霧,1924,雨,19,S,,fog,ム,mu,きり,kiri,u9727,u9727.svg,,
娘,1925,女,10,S,,daughter,,,むすめ,musume,u5a18,u5a18.svg,,
名,1926,口,6,1,,name,メイ、ミョウ,"mei, myō",な,na,u540d,u540d.svg,,
命,1927,口,8,3,,fate,メイ、ミョウ,"mei, myō",いのち,inochi,u547d,u547d.svg,,
明,1928,日,8,2,,bright,メイ、ミョウ,"mei, myō",あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす,"a-kari, aka-rui, aka-rumu, aka-ramu, aki-raka, a-keru, a-ku, a-kuru, a-kasu",u660e,u660e.svg,,
迷,1929,辵,9,5,,astray,メイ,mei,まよ-う,mayo-u,u8ff7,u8ff7.svg,,
冥,1930,冖,10,S,2010,dark,メイ、ミョウ,"mei, myō",,,u51a5,u51a5.svg,,
盟,1931,皿,13,6,,alliance,メイ,mei,,,u76df,u76df.svg,,
銘,1932,金,14,S,,inscription,メイ,mei,,,u9298,u9298.svg,,
鳴,1933,鳥,14,2,,chirp,メイ,mei,な-く、な-る、な-らす,"na-ku, na-ru, na-rasu",u9cf4,u9cf4.svg,,
滅,1934,水,13,S,,destroy,メツ,metsu,ほろ-びる、ほろ-ぼす,"horo-biru, horo-bosu",u6ec5,u6ec5.svg,,
免,1935,儿,8,S,,excuse,メン,men,まぬか-れる,manuka-reru,u514d,u514d.svg,,
面,1936,面,9,3,,face,メン,men,おも、おもて、つら,"omo, omote, tsura",u9762,u9762.svg,,
綿,1937,糸,14,5,,cotton,メン,men,わた,wata,u7dbf,u7dbf.svg,,
麺,1938,麥,16,S,2010,noodles,メン,men,,,u9eba,u9eba.svg,,
茂,1939,艸,8,S,,overgrown,モ,mo,しげ-る,shige-ru,u8302,u8302.svg,,
模,1940,木,14,6,,imitation,モ、ボ,"mo, bo",,,u6a21,u6a21.svg,,
毛,1941,毛,4,2,,hair,モウ,mō,け,ke,u6bdb,u6bdb.svg,,
妄,1942,女,6,S,1981,delusion,モウ、ボウ,"mō, bō",,,u5984,u5984.svg,,
盲,1943,目,8,S,,blind,モウ,mō,,,u76f2,u76f2.svg,,
耗,1944,耒,10,S,,decrease,モウ、（コウ）,"mō, (kō)",,,u8017,u8017.svg,,
猛,1945,犬,11,S,,fierce,モウ,mō,,,u731b,u731b.svg,,
網,1946,糸,14,S,,netting,モウ,mō,あみ,ami,u7db2,u7db2.svg,,
目,1947,目,5,1,,eye,モク、（ボク）,"moku, (boku)",め、（ま）,"me, (ma)",u76ee,u76ee.svg,,
黙,1948,黑,15,S,,silence,モク,moku,だま-る,dama-ru,u9ed9,u9ed9.svg,,
門,1949,門,8,2,,gates,モン,mon,かど,kado,u9580,u9580.svg,,
紋,1950,糸,10,S,,family crest,モン,mon,,,u7d0b,u7d0b.svg,,
問,1951,口,11,3,,question,モン,mon,と-う、と-い、（とん）,"to-u, to-i, (ton)",u554f,u554f.svg,,
冶,1952,冫,7,S,2010,melting,ヤ,ya,,,u51b6,u51b6.svg,,
夜,1953,夕,8,2,,night,ヤ,ya,よ、よる,"yo, yoru",u591c,u591c.svg,,
野,1954,里,11,2,,field,ヤ,ya,の,no,u91ce,u91ce.svg,,
弥,1955,弓,8,S,2010,all the more,,,や,ya,u5f25,u5f25.svg,,
厄,1956,厂,4,S,1981,unlucky,ヤク,yaku,,,u5384,u5384.svg,,
役,1957,彳,7,3,,service,ヤク、エキ,"yaku, eki",,,u5f79,u5f79.svg,,
約,1958,糸,9,4,,promise,ヤク,yaku,,,u7d04,u7d04.svg,,
訳,1959,言,11,6,,translate,ヤク,yaku,わけ,wake,u8a33,u8a33.svg,,
薬,1960,艸,16,3,,medicine,ヤク,yaku,くすり,kusuri,u85ac,u85ac.svg,,
躍,1961,足,21,S,,leap,ヤク,yaku,おど-る,odo-ru,u8e8d,u8e8d.svg,,
闇,1962,門,17,S,2010,darkness,,,やみ,yami,u95c7,u95c7.svg,,
由,1963,田,5,3,,reason,ユ、ユウ、（ユイ）,"yu, yū, (yui)",よし,yoshi,u7531,u7531.svg,,
油,1964,水,8,3,,oil,ユ,yu,あぶら,abura,u6cb9,u6cb9.svg,,
喩,1965,口,12,S,2010,metaphor,ユ,yu,,,u55a9,u55a9.svg,,
愉,1966,心,12,S,,pleasure,ユ,yu,,,u6109,u6109.svg,,
諭,1967,言,16,S,,rebuke,ユ,yu,さと-す,sato-su,u8aed,u8aed.svg,,
輸,1968,車,16,5,,transport,ユ,yu,,,u8f38,u8f38.svg,,
癒,1969,疒,18,S,1981,healing,ユ,yu,い-える、い-やす,"i-eru, i-yasu",u7652,u7652.svg,,
唯,1970,口,11,S,,solely,ユイ、（イ）,"yui, (i)",,,u552f,u552f.svg,,
友,1971,又,4,2,,friend,ユウ,yū,とも,tomo,u53cb,u53cb.svg,,
有,1972,月,6,3,,have,ユウ、ウ,"yū, u",あ-る,a-ru,u6709,u6709.svg,,
勇,1973,力,9,4,,courage,ユウ,yū,いさ-む,isa-mu,u52c7,u52c7.svg,,
幽,1974,幺,9,S,,seclude,ユウ,yū,,,u5e7d,u5e7d.svg,,
悠,1975,心,11,S,1981,permanence,ユウ,yū,,,u60a0,u60a0.svg,,
郵,1976,邑,11,6,,mail,ユウ,yū,,,u90f5,u90f5.svg,,
湧,1977,水,12,S,2010,boil,ユウ,yū,わ-く,wa-ku,u6e67,u6e67.svg,,
猶,1978,犬,12,S,,furthermore,ユウ,yū,,,u7336,u7336.svg,,
裕,1979,衣,12,S,,abundant,ユウ,yū,,,u88d5,u88d5.svg,,
遊,1980,辵,12,3,,play,ユウ、（ユ）,"yū, (yu)",あそ-ぶ,aso-bu,u904a,u904a.svg,,
雄,1981,隹,12,S,,male,ユウ,yū,お、おす,"o, osu",u96c4,u96c4.svg,,
誘,1982,言,14,S,,entice,ユウ,yū,さそ-う,saso-u,u8a98,u8a98.svg,,
憂,1983,心,15,S,,melancholy,ユウ,yū,うれ-える、うれ-い、う-い,"ure-eru, ure-i, u-i",u6182,u6182.svg,,
融,1984,虫,16,S,,dissolve,ユウ,yū,,,u878d,u878d.svg,,
優,1985,人,17,6,,superior,ユウ,yū,やさ-しい、すぐ-れる,"yasa-shii, sugu-reru",u512a,u512a.svg,,
与,1986,臼,3,S,,give,ヨ,yo,あた-える,ata-eru,u4e0e,u4e0e.svg,,
予,1987,豕,4,3,,in advance,ヨ,yo,,,u4e88,u4e88.svg,,
余,1988,食,7,5,,leave over,ヨ,yo,あま-る、あま-す,"ama-ru, ama-su",u4f59,u4f59.svg,,
誉,1989,言,13,S,,reputation,ヨ,yo,ほま-れ,homa-re,u8a89,u8a89.svg,,
預,1990,頁,13,6,,deposit,ヨ,yo,あず-ける、あず-かる,"azu-keru, azu-karu",u9810,u9810.svg,,
幼,1991,幺,5,6,,infancy,ヨウ,yō,おさな-い,osana-i,u5e7c,u5e7c.svg,,
用,1992,用,5,2,,use,ヨウ,yō,もち-いる,mochi-iru,u7528,u7528.svg,,
羊,1993,羊,6,3,,sheep,ヨウ,yō,ひつじ,hitsuji,u7f8a,u7f8a.svg,,
妖,1994,女,7,S,2010,bewitching,ヨウ,yō,あや-しい,aya-shii,u5996,u5996.svg,,
洋,1995,水,9,3,,ocean,ヨウ,yō,,,u6d0b,u6d0b.svg,,
要,1996,襾,9,4,,need,ヨウ,yō,かなめ、い-る,"kaname, i-ru",u8981,u8981.svg,,
容,1997,宀,10,5,,contain,ヨウ,yō,,,u5bb9,u5bb9.svg,,
庸,1998,广,11,S,,commonplace,ヨウ,yō,,,u5eb8,u5eb8.svg,,
揚,1999,手,12,S,,hoist,ヨウ,yō,あ-げる、あ-がる,"a-geru, a-garu",u63da,u63da.svg,,
揺,2000,手,12,S,,swing,ヨウ,yō,ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる,"yu-reru, yu-ru, yu-ragu, yu-rugu, yu-suru, yu-saburu, yu-suburu",u63fa,u63fa.svg,,
葉,2001,艸,12,3,,leaf,ヨウ,yō,は,ha,u8449,u8449.svg,,
陽,2002,阜,12,3,,sunshine,ヨウ,yō,,,u967d,u967d.svg,,
溶,2003,水,13,S,,melt,ヨウ,yō,と-ける、と-かす、と-く,"to-keru, to-kasu, to-ku",u6eb6,u6eb6.svg,,
腰,2004,肉,13,S,,loins,ヨウ,yō,こし,koshi,u8170,u8170.svg,,
様,2005,木,14,3,,formal title,ヨウ,yō,さま,sama,u69d8,u69d8.svg,,
瘍,2006,疒,14,S,2010,boil (medical),ヨウ,yō,,,u760d,u760d.svg,,
踊,2007,足,14,S,,jump,ヨウ,yō,おど-る、おど-り,"odo-ru, odo-ri",u8e0a,u8e0a.svg,,
窯,2008,穴,15,S,,kiln,ヨウ,yō,かま,kama,u7aaf,u7aaf.svg,,
養,2009,食,15,4,,foster,ヨウ,yō,やしな-う,yashina-u,u990a,u990a.svg,,
擁,2010,手,16,S,,embrace,ヨウ,yō,,,u64c1,u64c1.svg,,
謡,2011,言,16,S,,noh chanting,ヨウ,yō,うたい、うた-う,"utai, uta-u",u8b21,u8b21.svg,,
曜,2012,日,18,2,,day of the week,ヨウ,yō,,,u66dc,u66dc.svg,,
抑,2013,手,7,S,,repress,ヨク,yoku,おさ-える,osa-eru,u6291,u6291.svg,,
沃,2014,水,7,S,2010,fertility,ヨク,yoku,,,u6c83,u6c83.svg,,
浴,2015,水,10,4,,bathe,ヨク,yoku,あ-びる、あ-びせる,"a-biru, a-biseru",u6d74,u6d74.svg,,
欲,2016,欠,11,6,,longing,ヨク,yoku,ほっ-する、ほ-しい,"ho'-suru, ho-shii",u6b32,u6b32.svg,,
翌,2017,羽,11,6,,the following,ヨク,yoku,,,u7fcc,u7fcc.svg,,
翼,2018,羽,17,S,,wing,ヨク,yoku,つばさ,tsubasa,u7ffc,u7ffc.svg,,
拉,2019,手,8,S,2010,crush,ラ,ra,,,u62c9,u62c9.svg,,
裸,2020,衣,13,S,,naked,ラ,ra,はだか,hadaka,u88f8,u88f8.svg,,
羅,2021,网,19,S,1981,gauze,ラ,ra,,,u7f85,u7f85.svg,,
来,2022,人,7,2,,come,ライ,rai,く-る、きた-る、きた-す,"ku-ru, kita-ru, kita-su",u6765,u6765.svg,,
雷,2023,雨,13,S,,thunder,ライ,rai,かみなり,kaminari,u96f7,u96f7.svg,,
頼,2024,貝,16,S,,trust,ライ,rai,たの-む、たの-もしい、たよ-る,"tano-mu, tano-moshii, tayo-ru",u983c,u983c.svg,,
