kanji,keyword,lesson_number,kml_primitives,cluster_components,collapse_to,layout_type,first_use,notes
背,back,25,,,,v,,
比,compare,25,,,,,,layout_type unknown in source
昆,descendants,25,,,,v,,
皆,everyone,25,,,,v,,
楷,block_letters,25,,,,h,,
諧,orderliness,25,,,,h,,
混,mix,25,,,,h,,
渇,thirst,25,,,,h,,
謁,audience,25,,,,h,,
褐,brown,25,,,,h,,
喝,hoarse,25,,,,h,,
葛,kudzu,25,,,,v,,
旨,delicious,25,,,,v,,
脂,fat,25,,,,h,,
詣,visit_shrine,25,,,,h,,
壱,formal_one,25,,,,v,,
毎,every,25,,,,v,,
敏,cleverness,25,,,,h,,
梅,ume,25,,,,h,,
海,sea,26,,,,h,,
乞,beg,26,,,,v,,
乾,drought,26,,,,h,,
腹,abdomen,26,,,,h,,
複,duplicate,26,,,,h,,
欠,lack,26,,,,,,layout_type unknown in source
吹,blow,26,,,,h,,
炊,cook,26,,,,h,,
歌,song,26,,,,h,,
軟,soft,26,,,,h,,
次,next,26,,,,h,,
茨,briar,26,,,,v,,
資,assets,26,,,,v,,
姿,figure,26,,,,v,,
諮,consult_with,26,,,,h,,
賠,compensation,26,,,,h,,
培,cultivate,26,,,,h,,
剖,divide,26,,,,h,,
音,sound,26,,,,v,,
暗,darkness,26,,,,h,,
韻,rhyme,27,,,,h,,
識,discriminating,27,,,,h,,
鏡,mirror,27,,,,h,,
境,boundary,27,,,,h,,
亡,deceased,27,,,,v,,
盲,blind,27,,,,v,,
妄,delusion,27,,,,v,,
荒,laid_waste,27,,,,v,,
望,ambition,27,,,,v,,
方,direction,27,,,,v,,
妨,disturb,27,,,,h,,
坊,boy,27,,,,h,,
芳,perfume,27,,,,v,,
肪,obese,27,,,,h,,
訪,call_on,27,,,,h,,
放,release,27,,,,h,,
激,violent,27,,,,h,,
脱,undress,27,,,,h,,
説,theory,27,,,,h,,
鋭,pointed,27,,,,h,,
曽,formerly,28,,,,v,,
増,increase,28,,,,h,,
贈,presents,28,,,,h,,
東,east,28,,,,,,layout_type unknown in source
棟,ridgepole,28,,,,h,,
凍,frozen,28,,,,h,,
妊,pregnancy,28,,,,h,,
廷,courts,28,,,,e,,
染,dye,28,,,,v,,
燃,burn,28,,,,h,,
賓,vip,28,,,,v,,
歳,year_end,28,,,,v,,
県,prefecture,28,,,,v,,
栃,horse_chestnut,28,,,,h,,
地,ground,28,,,,h,,
池,pond,28,,,,h,,
虫,insect,28,,,,,,layout_type unknown in source
蛍,lightning_bug,28,,,,v,,
蛇,snake,28,,,,h,,
虹,rainbow,28,,,,h,,
蝶,butterfly,29,,,,h,,
独,alone,29,,,,h,,
蚕,silkworm,29,,,,v,,
風,wind,29,,,,e,,
己,self,29,,,,,,layout_type unknown in source
起,wake_up,29,,,,e,,
妃,queen,29,,,,h,,
改,reformation,29,,,,h,,
記,scribe,29,,,,h,,
包,wrap,29,,,,e,,
胞,placenta,29,,,,h,,
砲,cannon,29,,,,h,,
泡,bubbles,29,,,,h,,
亀,turtle,29,,,,v,,
電,electricity,29,,,,v,,
竜,dragon,29,,,,v,,
滝,waterfall,29,,,,h,,
豚,pork,29,,,,h,,
逐,pursue,29,,,,e,,
遂,consummate,29,,,,e,,
家,house,30,,,,v,,
嫁,marry_into,30,,,,h,,
豪,overpowering,30,,,,v,,
腸,intestines,30,,,,h,,
場,location,30,,,,h,,
湯,hot_water,30,,,,h,,
羊,sheep,30,,,,v,,
美,beauty,30,,,,v,,
洋,ocean,30,,,,h,,
詳,detailed,30,,,,h,,
鮮,fresh,30,,,,h,,
達,attain,30,,,,e,,
羨,envious,30,,,,v,,
差,distinction,30,,,,e,,
着,wear,30,,,,e,,
唯,solely,30,,,,h,,
堆,piled_high,30,,,,h,,
椎,sweet_oak,30,,,,h,,
誰,who,30,,,,h,,
焦,char,30,,,,v,,
礁,reef,31,,,,h,,
集,gather,31,,,,v,,
准,quasi,31,,,,h,,
進,advance,31,,,,e,,
雑,miscellaneous,31,,,,h,,
雌,female,31,,,,h,,
準,conform,31,,,,v,,
奮,stirred_up,31,,,,v,,
奪,rob,31,,,,v,,
確,assurance,31,,,,h,,
午,noon,153,,,,v,,
許,permit,31,,,,h,,
歓,delight,31,,,,h,,
権,rights,31,,,,h,,
観,observe,31,,,,h,,
羽,feathers,31,,,,h,,
習,learn,31,,,,v,,
翌,following_day,31,,,,v,,
曜,weekday,31,,,,h,,
濯,laundry,31,,,,h,,
曰,sayeth,32,,,,,,layout_type unknown in source
困,quandary,32,,,,e,,
固,hard,32,,,,e,,
錮,weld,32,,,,h,,
国,country,32,,,,e,,
団,group,32,,,,e,,
因,reason,32,,,,e,,
姻,matrimony,32,,,,h,,
咽,gullet,32,,,,h,,
園,garden,32,,,,e,,
回,occurrences,32,,,,e,,
壇,podium,32,,,,h,,
店,store,32,,,,e,,
庫,storage,32,,,,e,,
庭,courtyard,32,,,,e,,
庁,government_office,32,,,,e,,
床,bed,32,,,,e,,
麻,hemp,32,,,,e,,
磨,grind,32,,,,e,,
心,heart,32,,,,,,layout_type unknown in source
忘,forget,33,,,,v,,
恣,selfish,33,,,,v,,
忍,endure_silently,33,,,,v,,
認,acknowledge,33,,,,h,,
忌,mourning,33,,,,v,,
志,intention,33,,,,v,,
誌,document,33,,,,h,,
芯,core,33,,,,v,,
忠,loyalty,33,,,,v,,
串,skewer,33,,,,,,layout_type unknown in source
患,afflicted,33,,,,v,,
思,think,33,,,,v,,
恩,grace,33,,,,v,,
応,respond,33,,,,e,,
意,idea,33,,,,v,,
臆,cowardice,33,,,,h,,
想,concept,33,,,,v,,
息,breath,33,,,,v,,
憩,recess,33,,,,v,,
恵,favor,33,,,,v,,
恐,fear,34,,,,v,,
惑,beguile,34,,,,v,,
感,feeling,34,,,,v,,
憂,melancholy,34,,,,v,,
寡,widow,34,,,,v,,
忙,busy,34,,,,h,,
悦,ecstasy,34,,,,h,,
恒,constancy,34,,,,h,,
悼,lament,34,,,,h,,
