kanji,heisig_number,heisig_keyword,heisig_components,kml_primitives,primitive_count,cluster_components,collapse_to
署,1349,signature,eye; cross-eyed; net; someone; puppet; sooty; old man; sun;eye; sun,2,,signature,
暑,1350,sultry,sun; someone; puppet; sooty; old man,日,1,sultry,
諸,1351,various,say; words; keitai; mouth; someone; puppet; sooty; old man; sun;mouth; sun,2,,various,
猪,1352,boar,pack of wild dogs; someone; puppet; sooty; old man; sun;sun,1,,boar,
渚,1353,strand,water; water droplets; water pistol; someone; puppet; sooty; old man; sun;water; sun,2,,strand,
賭,1354,gamble,shell; someone; puppet; sooty; old man; sun;shell; eye; legs; split; sun,5,,gamble,
峡,1355,gorge,mountain; scissors; husband; horns,horns,1,gorge,
狭,1356,cramped,pack of wild dogs; scissors; husband; horns,horns,1,cramped,
挟,1357,sandwiched,finger; fingers; scissors; husband; horns,horns,1,sandwiched,
頬,1358,cheek,,,0,cheek,
追,1359,chase,maestro; road,,0,chase,
阜,1360,large hill,maestro; ten; needle,十,1,large hill,
師,1361,expert,maestro; noren; one; ceiling; towel,一,1,expert,
帥,1362,commander,maestro; towel,,0,commander,
官,1363,bureaucrat,house; maestro without baton,,0,bureaucrat,
棺,1364,coffin,tree; wood; bureaucrat; house; maestro without baton,木,1,coffin,
管,1365,pipe,bamboo; bureaucrat; house; maestro without baton,,0,pipe,
父,1366,father,,,0,father,
釜,1367,cauldron,father; metal; gold,金,1,cauldron,
交,1368,mingle,top hat; father,lid,1,mingle,
効,1369,merit,mingle; top hat; father; power; muscle; arnold,lid,1,merit,
較,1370,contrast,car; mingle; top hat; father,lid,1,contrast,
校,1371,exam,tree; wood; mingle; top hat; father,木|lid,2,exam,
足,1372,leg,mouth; mending; mend,口,1,leg,
促,1373,stimulate,person; leg; mouth; mending; mend,人|口,2,stimulate,
捉,1374,nab,finger; fingers; leg; mouth; mend,口,1,nab,
距,1375,long-distance,wooden leg; mouth; stop; footprint; giant,口,1,long-distance,
路,1376,path,wooden leg; mouth; stop; footprint; each; walking legs; mouth,口,1,path,
露,1377,dew,rain; weather; path; wooden leg; mouth; stop; footprint; each; walking legs; mouth,口,1,dew,
跳,1378,hop,wooden leg; mouth; stop; footprint; portent; omen,口,1,hop,
躍,1379,leap,wooden leg; mouth; stop; footprint; futon; feathers; wings; turkey,口,1,leap,
践,1380,tread,wooden leg; mouth; stop; footprint; parade float,口,1,tread,
踏,1381,step,wooden leg; mouth; stop; footprint; wednesday; boots; water; sun;mouth; water; sun,3,,step,
踪,1382,trail,,,0,trail,
骨,1383,skeleton,joint; moon,月,2,skeleton,
滑,1384,slippery,water; water droplets; water pistol; skeleton; joint; moon,水|月,3,slippery,
髄,1385,marrow,skeleton; joint; moon; highwayman; possess; by one’s side; road,月,2,marrow,
禍,1386,calamity,altar; jawbone; joint; hood; mouth,口,1,calamity,
渦,1387,whirlpool,water; water droplets; water pistol; jawbone; joint; hood; mouth,水|口,2,whirlpool,
鍋,1388,pot,metal; gold; jawbone; joint; hood; mouth,金|口,2,pot,
過,1389,overdo,jawbone; joint; hood; mouth; road,口,1,overdo,
阪,1390,Heights,heights; pinnacle; parthenon; acropolis; anti-; demonstration; cliff; crotch,cliff,1,Heights,
阿,1391,Africa,africa; pinnacle; parthenon; acropolis; can; mouth; street; nail; spike,口,1,Africa,
際,1392,occasion,pinnacle; parthenon; acropolis; ritual; moon; crotch; altar; show; two; small,月|一|小,4,occasion,
障,1393,hinder,pinnacle; parthenon; acropolis; badge; vase; stand up; sunflower; early; sun; ten; needle,日|十,2,hinder,
隙,1394,chink,pinnacle; parthenon; acropolis; small; little; sun; little,小|日,2,chink,
随,1395,follow,pinnacle; parthenon; acropolis; highwayman; possess; by one’s side; moon; road,月,2,follow,
陪,1396,auxiliary,obeisance; pinnacle; parthenon; acropolis; muzzle; vase; stand up; mouth,口,1,auxiliary,
陽,1397,sunshine,pinnacle; parthenon; acropolis; piggy bank; sun; piglets,日,1,sunshine,
陳,1398,line up,exhibit; pinnacle; parthenon; acropolis; east; tree; wood; sun;tree; sun,2,,line up,
防,1399,ward off,pinnacle; parthenon; acropolis; compass; direction,,0,ward off,
附,1400,affixed,pinnacle; parthenon; acropolis; adhere; sellotape; person; glue,人,1,affixed,
院,1401,Inst.,pinnacle; parthenon; acropolis; perfect; house; beginnings; two; human legs,一|legs,2,Inst.,
陣,1402,camp,pinnacle; parthenon; acropolis; car,,0,camp,
隊,1403,regiment,pinnacle; parthenon; acropolis; animal horns; sow; pig; wart hog; regimental mascot,,0,regiment,
墜,1404,crash,regiment; pinnacle; parthenon; acropolis; animal horns; sow; pig; wart hog; regimental mascot; soil; dirt; ground,土,1,crash,
降,1405,descend,pinnacle; parthenon; acropolis; walking legs; sunglasses with one lens missing; monocle,,0,descend,
階,1406,story,storey; pinnacle; parthenon; acropolis; all; compare; spoon; sitting on the ground; white; dove,,0,story,
陛,1407,highness,pinnacle; parthenon; acropolis; compare; spoon; sitting on the ground; soil; dirt; ground,土,1,highness,
隣,1408,neighboring,neighbouring; pinnacle; parthenon; acropolis; shoeshine; rice; sunglasses; dancing legs; ballerina; evening,evening,1,neighboring,
隔,1409,isolate,pinnacle; parthenon; acropolis; tripod; one; ceiling; mouth; hood; human legs; street; nail; spike,一|口|legs,3,isolate,
隠,1410,conceal,pinnacle; parthenon; acropolis; hideaway; claw; vulture; broom; heart,,0,conceal,
堕,1411,degenerate,pinnacle; parthenon; acropolis; possess; by one’s side; moon; ground; soil; dirt; ground,月|土,3,degenerate,
陥,1412,collapse,pinnacle; parthenon; acropolis; straight-jacket; bound up; olden times; old days; stick; sun;sun,1,,collapse,
穴,1413,hole,house; eight,split,1,hole,
空,1414,empty,hole; house; human legs; craft,legs,1,empty,
控,1415,withdraw,finger; fingers; empty; sky; hole; house; human legs; craft,legs,1,withdraw,
突,1416,stab,hole; house; human legs; large; St. Bernard,legs,1,stab,
究,1417,research,hole; house; human legs; nine; baseball,legs|ball,2,research,
窒,1418,plug up,hole; house; human legs; climax; wall; one; ceiling; elbow; soil; dirt; ground,legs|一|土,3,plug up,
窃,1419,stealth,hole; house; human legs; cut; seven; sword; dagger,legs|cut,2,stealth,
窟,1420,cavern,hole; house; human legs; yield; flag; exit,legs,1,cavern,
窪,1421,depression,hole; house; human legs; water; water droplets; water pistol; ivy; square jewel; soil; dirt; ground,legs|水|土,3,depression,
搾,1422,squeeze,finger; fingers; tight; hole; house; human legs; saw,legs,1,squeeze,
窯,1423,kiln,hole; house; human legs; sheep; oven-fire; barbecue,legs,1,kiln,
窮,1424,hard up,hole; house; human legs; somebody; nose; bow,legs|鼻,2,hard up,
探,1425,grope,finger; fingers; paper punch; Miss World; hole; house; human legs; tree; wood,legs|木,2,grope,
深,1426,deep,water; water droplets; water pistol; paper punch; Miss World; hole; house; human legs; tree; wood,水|legs|木,3,deep,
丘,1427,hill,axe; one; floor,一,1,hill,
岳,1428,Point,point; hill; axe; one; floor; mountain,一,1,Point,
兵,1429,soldier,hill; axe; one; floor; animal legs; eight,一|legs|split,3,soldier,
浜,1430,seacoast,water; water droplets; water pistol; soldier; hill; axe; one; floor; animal legs; eight,水|一|legs|split,4,seacoast,
糸,1431,thread,spiderman,thread,1,thread,
織,1432,weave,thread; spiderman; kazoo; sound; vase; stand up; sun; fiesta,糸|日,2,weave,
繕,1433,darning,thread; spiderman; virtuous; sheep; horns; mouth,糸|horns|口,3,darning,
縮,1434,shrink,thread; spiderman; inn; house; person; hundred; one; ceiling; white; dove,糸|人|一,3,shrink,
繁,1435,luxuriant,cleverness; reclining; lying down; mother; breasts; taskmaster; thread; spiderman,女|体|糸,3,luxuriant,
縦,1436,vertical,thread; spiderman; accompany; Nelson; column; going; line; horns; mend,糸|一|horns,3,vertical,
緻,1437,fine,,,0,fine,
線,1438,line,thread; spiderman; spring; white; dove; water,糸|水,2,line,
綻,1439,come apart at the seams,thread; spiderman; determine; determined; house; mend,糸,1,come apart at the seams,
締,1440,tighten,thread; spiderman; sovereign; vase; stand up; apron; crown; towel,糸,1,tighten,
維,1441,fiber,thread; spiderman; turkey,糸,1,fiber,
羅,1442,gauze,eye; cross-eyed; net; fibre; thread; spiderman; turkey,目|糸,2,gauze,
練,1443,practice,thread; spiderman; east; tree; wood; sun;thread; tree; sun,3,,practice,
緒,1444,thong,thread; spiderman; someone; puppet; sooty; old man; sun;thread; sun,2,,thong,
続,1445,continue,thread; spiderman; sell; samurai; crown; human legs,糸|legs,2,continue,
絵,1446,picture,thread; spiderman; meeting; one; wall; umbrella; rising cloud; two; elbow; wall,糸|一,2,picture,
統,1447,overall,thread; spiderman; allot; infant; toddler; top hat; elbow; human legs,糸|lid|legs,3,overall,
絞,1448,strangle,thread; spiderman; mingle; top hat; father,糸|lid,2,strangle,
給,1449,salary,thread; spiderman; fit; meeting; umbrella; one; mouth,糸|一|口,3,salary,
絡,1450,entwine,thread; spiderman; each; walking legs; mouth,糸|口,2,entwine,
結,1451,tie,thread; spiderman; aerosol; samurai; mouth,糸|口,2,tie,
終,1452,end,thread; spiderman; winter; walking legs; ice; drop,糸|丶,2,end,
級,1453,class,thread; spiderman; reach out; outstretched hands,糸,1,class,
紀,1454,chronicle,thread; spiderman; snake; self,糸,1,chronicle,
紅,1455,crimson,thread; spiderman; craft,糸,1,crimson,
納,1456,settlement,thread; spiderman; inside; person; belt,糸|人,2,settlement,
紡,1457,spinning,thread; spiderman; compass; direction,糸,1,spinning,
紛,1458,distract,thread; spiderman; part; eight; sword; dagger,糸|split,2,distract,
紹,1459,introduce,thread; spiderman; summon; seduce; sword; dagger; mouth,糸|口,2,introduce,
経,1460,sutra,thread; spiderman; spool; clod; toilet paper; crotch; soil; dirt; ground,糸|土,2,sutra,
紳,1461,sire,thread; spiderman; monkey; sun; stick,糸|日,2,sire,
約,1462,promise,thread; spiderman; ladle,糸,1,promise,
細,1463,dainty,thread; spiderman; rice field; brains,糸|田,2,dainty,
累,1464,accumulate,rice field; brains; thread; spiderman,田|糸,2,accumulate,
索,1465,cord,bishop; cross; ten; needle; crown; thread; spiderman,十|糸,2,cord,
総,1466,general,thread; spiderman; public; eight; elbows; heart,糸|split,2,general,
綿,1467,cotton,thread; spiderman; napkin; white; dove; towel,糸,1,cotton,
絹,1468,silk,thread; spiderman; mouth; moon,糸|口|月,4,silk,
繰,1469,winding,thread; spiderman; furniture; goods; mouth; tree; wood,糸|口|木,3,winding,
継,1470,inherit,thread; spiderman; rice; fishhook,糸,1,inherit,
緑,1471,green,thread; spiderman; dustpan; broom; grains of rice,糸,1,green,
縁,1472,affinity,thread; spiderman; broom; sow; pig,糸,1,affinity,
網,1473,netting,thread; spiderman; glass jar; hood; horns; one; deceased; perish; top hat; fishhook,糸|horns|一|lid,4,netting,
緊,1474,tense,loincloth; retainer; slave; crotch; thread; spiderman,糸,1,tense,
紫,1475,purple,Prince; this here; stop; footprint; spoon; sitting on the ground; thread; spiderman,糸,1,purple,
縛,1476,truss,thread; spiderman; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,糸|丶|十|田,4,truss,
縄,1477,straw rope,thread; spiderman; eels; sun;thread; sun,2,,straw rope,
幼,1478,infancy,cocoon; power; muscle; arnold,,0,infancy,
後,1479,behind,Nelson; column; going; line; cocoon; walking legs,一,1,behind,
幽,1480,faint,seclude; cocoon; mountain,,0,faint,
幾,1481,how many,cocoon; person; fiesta,人,1,how many,
機,1482,mechanism,tree; wood; abacus; how many; cocoon; person; fiesta,木|人,2,mechanism,
畿,1483,capital suburbs,cocoon; rice field; brains; fiesta,田,1,capital suburbs,
玄,1484,mysterious,top hat; cocoon,lid,1,mysterious,
畜,1485,livestock,mysterious; top hat; cocoon; rice field; brains,lid|田,2,livestock,
蓄,1486,amass,flowers; livestock; mysterious; top hat; cocoon; rice field; brains,lid|田,2,amass,
弦,1487,bowstring,bow; mysterious; top hat; cocoon,lid,1,bowstring,
擁,1488,hug,finger; fingers; mysterious; top hat; cocoon; turkey,lid,1,hug,
滋,1489,nourishing,water; water droplets; water pistol; double-mysterious; mothballs; horns; one; cocoon,水|horns|一,3,nourishing,
慈,1490,mercy,double-mysterious; mothballs; horns; one; cocoon; heart,horns|一,2,mercy,
磁,1491,magnet,stone; rock; double-mysterious; mothballs; horns; one; cocoon,石|horns|一,3,magnet,
系,1492,lineage,stick; drop; thread; spiderman,丶|糸,2,lineage,
係,1493,person in charge,person; lineage; drop; thread; spiderman,人|丶|糸,3,person in charge,
孫,1494,grandchild,child; lineage; drop; thread; spiderman,子|丶|糸,3,grandchild,
懸,1495,suspend,prefecture; eye; fishhook; small; little; lineage; stick; drop; thread; spiderman; heart,目|小|丶|糸,4,suspend,
遜,1496,modest,grandchild; child; lineage; drop; thread; spiderman; road,子|丶|糸,3,modest,
却,1497,instead,gone; soil; dirt; ground; elbow; stamp,土,1,instead,
脚,1498,shins,skids; moon; instead; gone; soil; dirt; ground; elbow; stamp,月|土,3,shins,
卸,1499,wholesale,horseshoe; horse; pantomime horse; noon; sign of the horse; stop; footprint; stamp,,0,wholesale,
御,1500,honorable,Nelson; column; going; line; wholesale; horseshoe; pantomime horse; noon; sign of the horse; stop; footprint; stamp,一,1,honorable,
服,1501,clothing,moon; underpants; stamp; crotch,月,2,clothing,
命,1502,fate,fit; meeting; umbrella; one; mouth; stamp,一|口,2,fate,
令,1503,orders,meeting; chop-seal; hanko,,0,orders,
零,1504,zero,rain; weather; orders; meeting; chop-seal; hanko,,0,zero,
齢,1505,age,teeth; tooth; stop; footprint; rice; shovel; orders; meeting; chop-seal; hanko,,0,age,
冷,1506,cool,ice; orders; meeting; chop-seal; hanko,,0,cool,
領,1507,jurisdiction,orders; meeting; chop-seal; hanko; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,一|丶|貝|目|legs|split,6,jurisdiction,
鈴,1508,small bell,metal; gold; orders; meeting; chop-seal; hanko,金,1,small bell,
勇,1509,courage,chop-seal; hanko; male; rice field; brains; power; muscle; arnold,田,1,courage,
湧,1510,bubble up,water; water droplets; water pistol; courageous; courage; chop-seal; hanko; male; rice field; brains; power; muscle; arnold,水|田,2,bubble up,
通,1511,traffic,pogo stick; chop-seal; hanko; utilise; utilize; road,,0,traffic,
踊,1512,jump,wooden leg; mouth; stop; footprint; pogo stick; chop-seal; hanko; utilise; utilize,口,1,jump,
疑,1513,doubt,spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,丶,1,doubt,
擬,1514,mimic,finger; fingers; doubt; spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,丶,1,mimic,
凝,1515,congeal,ice; doubt; spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,丶,1,congeal,
範,1516,pattern,bamboo; car; fingerprint,,0,pattern,
犯,1517,crime,pack of wild dogs; fingerprint,,0,crime,
氾,1518,widespread,water; water droplets; water pistol; fingerprint,水,1,widespread,
厄,1519,unlucky,cliff; fingerprint,cliff,1,unlucky,
危,1520,dangerous,bound up; unlucky; cliff; fingerprint,cliff,1,dangerous,
宛,1521,address,house; mailbox; evening; fingerprint,evening,1,address,
腕,1522,arm,moon; address; house; mailbox; evening; fingerprint,月|evening,3,arm,
苑,1523,garden,flowers; mailbox; evening; fingerprint,evening,1,garden,
怨,1524,grudge,mailbox; evening; fingerprint; heart,evening,1,grudge,
柳,1525,willow,tree; wood; blown eggs; sign of the hare; receipt; stamp,木,1,willow,
卵,1526,egg,sign of the hare; receipt; stamp; drops,,0,egg,
留,1527,detain,receipt; sword; dagger; rice field; brains,田,1,detain,
瑠,1528,marine blue,king; jewel; ball; detain; receipt; dagger; sword; rice field; brains,ball|田,2,marine blue,
貿,1529,trade,receipt; sword; dagger; shellfish; clam; oyster; eye; animal legs; eight,貝|目|legs|split,4,trade,
印,1530,stamp,staples,,0,stamp,
臼,1531,mortar,back to back staples,,0,mortar,
毀,1532,break,mortar; soil; dirt; ground; cruise missile; missile; wind; crotch,土,1,break,
興,1533,entertain,staples; same; monks; hood; one; mouth; tool; animal legs; eight,一|口|legs|split,4,entertain,
酉,1534,sign of the bird,whiskey bottle; west; one,一,1,sign of the bird,
酒,1535,sake,water; water droplets; water pistol; whiskey bottle,水,1,sake,
酌,1536,bartending,whiskey bottle; ladle,,0,bartending,
酎,1537,hooch,whiskey bottle; glue,,0,hooch,
酵,1538,fermentation,whiskey bottle; filial piety; old man; child,子,1,fermentation,
酷,1539,cruel,whiskey bottle; revelation; cow; mouth,口,1,cruel,
酬,1540,repay,whiskey bottle; state; stream; drop,丶,1,repay,
酪,1541,dairy products,whiskey bottle; each; walking legs; mouth,口,1,dairy products,
酢,1542,vinegar,whiskey bottle; saw,,0,vinegar,
酔,1543,drunk,whiskey bottle; ninety; nine; baseball; ten; needle,ball|十,2,drunk,
配,1544,distribute,whiskey bottle; snake; self,,0,distribute,
酸,1545,acid,whiskey bottle; streetwalker; Ministry of silly walks; John Cleese; license; elbow; human legs; walking legs,legs,1,acid,
猶,1546,waver,furthermore; pack of wild dogs; chieftain; Molotov cocktail; animal horns; whiskey bottle,,0,waver,
尊,1547,revered,chieftain; Molotov cocktail; animal horns; whiskey bottle; glue,,0,revered,
豆,1548,beans,table; one; mouth,一|口,2,beans,
頭,1549,head,beans; table; one; mouth; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,一|口|丶|貝|目|legs|split,7,head,
短,1550,short,dart; drop; heavens; beans; table; one; mouth,丶|一|口,3,short,
豊,1551,bountiful,bend; beans; table; one; mouth,一|口,2,bountiful,
鼓,1552,drum,samurai; beans; table; one; mouth; branch; ten; needle; crotch,一|口|十,3,drum,
喜,1553,rejoice,drum; samurai; beans; table; one; mouth; mouth,一|口,2,rejoice,
樹,1554,timber-trees,tree; wood; drum; samurai; beans; table; one; mouth; glue,木|一|口,3,timber-trees,
皿,1555,dish,,,0,dish,
血,1556,blood,drop; dish,丶,1,blood,
盆,1557,basin,part; eight; sword; dagger; dish,split,1,basin,
盟,1558,alliance,bright; sun; moon; dish,日|月,3,alliance,
盗,1559,steal,next; ice; lack; yawn; dish,,0,steal,
温,1560,warm,water; water droplets; water pistol; sun; dish,水|日,2,warm,
蓋,1561,lid,flowers; gone; soil; dirt; ground; elbow; dish,土,1,lid,
監,1562,oversee,retainer; slave; reclining; lying down; one; floor; dish,一,1,oversee,
濫,1563,overflow,water; water droplets; water pistol; oversee; retainer; slave; reclining; lying down; one; floor; dish,水|一,2,overflow,
鑑,1564,specimen,metal; gold; oversee; retainer; slave; reclining; lying down; one; floor; dish,金|一,2,specimen,
藍,1565,indigo,flowers; oversee; retainer; slave; reclining; lying down; one; floor; dish,一,1,indigo,
猛,1566,fierce,pack of wild dogs; child; dish,子,1,fierce,
盛,1567,boom,turn into; dish,,0,boom,
塩,1568,salt,soil; dirt; ground; reclining; lying down; mouth; dish,土|口,2,salt,
銀,1569,silver,metal; gold,金,1,silver,
恨,1570,resentment,regret; Freud; state of mind; silver,,0,resentment,
根,1571,root,tree; wood; silver,木,1,root,
即,1572,instant,silver; stamp,,0,instant,
爵,1573,baron,claw; vulture; net; eye; silver; glue,目,1,baron,
節,1574,node,bamboo; instant; silver; stamp,,0,node,
退,1575,retreat,road; silver,,0,retreat,
限,1576,limit,pinnacle; parthenon; acropolis; silver,,0,limit,
眼,1577,eyeball,eye; silver,目,1,eyeball,
良,1578,good,drop; silver,丶,1,good,
朗,1579,melodious,halo; drop; silver; moon,丶|月,3,melodious,
浪,1580,wandering,water; water droplets; water pistol; halo; drop; silver,水|丶,2,wandering,
娘,1581,daughter,woman; halo; drop; silver,女|丶,2,daughter,
食,1582,eat,food; umbrella; good; halo; drop; silver,丶,1,eat,
飯,1583,meal,eat; food; umbrella; good; halo; drop; silver; anti-; demonstration; cliff; crotch,丶|cliff,2,meal,
飲,1584,drink,eat; food; umbrella; good; halo; drop; silver; lack; yawn,丶,1,drink,
飢,1585,hungry,eat; food; umbrella; good; halo; drop; silver; wind,丶,1,hungry,
餓,1586,starve,eat; food; umbrella; good; halo; drop; silver; ego; hand; fiesta,丶,1,starve,
飾,1587,decorate,eat; food; umbrella; good; halo; drop; silver; reclining; lying down; towel,丶,1,decorate,
餌,1588,feed,eat; food; umbrella; good; halo; drop; silver; ear,丶,1,feed,
館,1589,Bldg.,eat; food; umbrella; good; halo; drop; silver; bureaucrat; house; maestro without baton,丶,1,Bldg.,
餅,1590,mochi,eat; food; umbrella; good; halo; drop; silver; puzzle; horns; two hands,丶|horns,2,mochi,
養,1591,foster,sheep; eat; food; umbrella; good; halo; drop; silver,丶,1,foster,
飽,1592,sated,eat; food; umbrella; good; halo; drop; silver; wrap; bound up; snake; self,丶,1,sated,
既,1593,previously,silver; waitress,,0,previously,
概,1594,outline,roots; tree; wood; silver; waitress; previously,木,1,outline,
慨,1595,rue,regret; resentment; Freud; state of mind; silver; waitress; previously,,0,rue,
平,1596,even,water-lily; lily pad,,0,even,
呼,1597,call,mouth; even; water-lily; lily pad; question mark,口,1,call,
坪,1598,two-mat area,soil; dirt; ground; even; water-lily; lily pad,土,1,two-mat area,
評,1599,evaluate,say; words; keitai; mouth; even; water-lily; lily pad,口,1,evaluate,
刈,1600,reap,sheaf; sword; sabre; saber,,0,reap,
刹,1601,moment,sheaf; tree; wood; sword; sabre; saber,木,1,moment,
希,1602,hope,sheaf; linen; by one’s side; towel,,0,hope,
凶,1603,villain,sheaf; shovel,,0,villain,
胸,1604,bosom,moon; bound up; villain; sheaf; shovel,月,2,bosom,
離,1605,detach,sheik; top hat; villain; sheaf; shovel; belt; elbow; turkey,lid,1,detach,
璃,1606,crystal,king; jewel; ball; sheik; top hat; villain; sheaf; shovel; belt; elbow,ball|lid,2,crystal,
殺,1607,kill,sheaf; tree; wood; cruise missile; missile; wind; crotch,木,1,kill,
爽,1608,bracing,large; St. Bernard; sheaf,,0,bracing,
純,1609,genuine,thread; spiderman; earthworm; drop; shovel; fishhook,糸|丶,2,genuine,
頓,1610,immediate,earthworm; drop; shovel; fishhook; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,丶|一|貝|目|legs|split,6,immediate,
鈍,1611,dull,metal; gold; earthworm; drop; shovel; fishhook,金|丶,2,dull,
辛,1612,spicy,stand up; vase; ten; needle,十,1,spicy,
辞,1613,resign,tongue; thousand; mouth; spicy; stand up; vase; ten; needle,口|十,2,resign,
梓,1614,catalpa,tree; wood; spicy; stand up; vase; ten; needle,木|十,2,catalpa,
宰,1615,superintend,house; spicy; stand up; vase; ten; needle,十,1,superintend,
壁,1616,wall,ketchup; flag; mouth; spicy; stand up; vase; ten; needle; soil; dirt; ground,口|十|土,3,wall,
璧,1617,holed gem,,,0,holed gem,
避,1618,evade,ketchup; flag; mouth; spicy; stand up; vase; ten; needle; road,口|十,2,evade,
新,1619,new,red pepper; stand up; vase; tree; wood; axe,木,1,new,
薪,1620,firewood,fuel; flowers; new; red pepper; stand up; vase; tree; wood; axe,木,1,firewood,
親,1621,parent,red pepper; stand up; vase; tree; wood; see; telescope; eye; human legs,木|目|legs,3,parent,
幸,1622,happiness,ten; needle; stand up; vase; ten; needle,十,1,happiness,
執,1623,tenacious,happiness; ten; needle; stand up; vase; fat man; musashimaru; nine; baseball; drop,十|ball|丶,3,tenacious,
摯,1624,clasp,,,0,clasp,
報,1625,report,happiness; ten; needle; stand up; vase; underpants; stamp; crotch,十,1,report,
叫,1626,shout,mouth; cornucopia,口,1,shout,
糾,1627,twist,thread; spiderman; cornucopia,糸,1,twist,
収,1628,income,cornucopia; crotch,,0,income,
卑,1629,lowly,Wayne Slob; drop; rice field; brains; cornucopia; ten; needle,丶|田|十,3,lowly,
碑,1630,tombstone,stone; rock; lowly; Wayne Slob; drop; rice field; brains; cornucopia; ten; needle,石|丶|田|十,4,tombstone,
陸,1631,land,pinnacle; parthenon; acropolis; mini-tractor; rice seedlings; soil; dirt; ground; human legs,土|legs,2,land,
睦,1632,intimate,eye; mini-tractor; rice seedlings; soil; dirt; ground; human legs,目|土|legs,3,intimate,
勢,1633,forces,mini-tractor; rice seedlings; soil; dirt; ground; human legs; fat man; musashimaru; round; nine; baseball; drop; power; muscle; arnold,土|legs|ball|丶,4,forces,
熱,1634,heat,mini-tractor; rice seedlings; soil; dirt; ground; human legs; fat man; musashimaru; round; nine; baseball; drop; oven-fire; barbecue,土|legs|ball|丶,4,heat,
菱,1635,diamond,flowers; Mao; soil; dirt; ground; human legs; walking legs,土|legs,2,diamond,
陵,1636,mausoleum,pinnacle; parthenon; acropolis; Mao; soil; dirt; ground; human legs; walking legs,土|legs,2,mausoleum,
亥,1637,sign of the hog,acorn; top hat,lid,1,sign of the hog,
核,1638,nucleus,tree; wood; sign of the hog; acorn; top hat,木|lid,2,nucleus,
刻,1639,engrave,sign of the hog; acorn; top hat; sword; sabre; saber,lid,1,engrave,
該,1640,above-stated,say; words; keitai; mouth; sign of the hog; acorn; top hat,口|lid,2,above-stated,
骸,1641,remains,skeleton; joint; moon; sign of the hog; acorn; top hat,月|lid,3,remains,
劾,1642,censure,sign of the hog; acorn; top hat; power; muscle; arnold,lid,1,censure,
述,1643,mention,resin; pole; road,,0,mention,
術,1644,art,boulevard; going; resin; pole,,0,art,
寒,1645,cold,Baba Yaga’s hut; house; celery; animal legs; ice,legs,1,cold,
塞,1646,block up,Baba Yaga’s hut; house; celery; animal legs; soil; dirt; ground,legs|土,2,block up,
醸,1647,brew,whiskey bottle; grass skirt; top hat; eight; six; animal legs; celery; scarf,lid|split|legs,3,brew,
譲,1648,defer,say; words; keitai; mouth; grass skirt; top hat; eight; six; animal legs; celery; scarf,口|lid|split|legs,4,defer,
壌,1649,lot,soil; dirt; ground; grass skirt; top hat; eight; six; animal legs; celery; scarf,土|lid|split|legs,4,lot,
嬢,1650,lass,woman; grass skirt; top hat; eight; six; animal legs; celery; scarf,女|lid|split|legs,4,lass,
毒,1651,poison,grow up; mother; breasts,女|体,2,poison,
素,1652,elementary,grow up; thread; spiderman,糸,1,elementary,
麦,1653,barley,grow up; walking legs,,0,barley,
青,1654,blue,grow up; moon; flesh,月,2,blue,
精,1655,refined,rice; blue; grow up; moon; flesh,月,2,refined,
請,1656,solicit,say; words; keitai; mouth; blue; grow up; moon; flesh,口|月,3,solicit,
情,1657,feelings,Freud; state of mind; blue; grow up; moon; flesh,月,2,feelings,
晴,1658,clear up,sun; blue; grow up; moon; flesh,日|月,3,clear up,
清,1659,pure,water; water droplets; water pistol; blue; grow up; moon; flesh,水|月,3,pure,
静,1660,quiet,blue; grow up; moon; flesh; contend; bound up; rake,月,2,quiet,
責,1661,blame,grow up; shellfish; clam; oyster; eye; animal legs; eight,貝|目|legs|split,4,blame,
績,1662,exploits,thread; spiderman; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,糸|貝|目|legs|split,5,exploits,
積,1663,volume,wheat; cereal; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,貝|目|legs|split,4,volume,
債,1664,bond,person; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,人|貝|目|legs|split,5,bond,
漬,1665,pickling,water; water droplets; water pistol; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,水|貝|目|legs|split,5,pickling,
表,1666,surface,grow up; scarf,,0,surface,
俵,1667,bag,person; surface; grow up; scarf,人,1,bag,
潔,1668,undefiled,water; water droplets; water pistol; flick knife; grow up; sword; dagger; thread; spiderman,水|糸,2,undefiled,
契,1669,pledge,flick knife; grow up; dagger; large; St. Bernard,,0,pledge,
喫,1670,consume,mouth; pledge; flick knife; grow up; dagger; large; St. Bernard,口,1,consume,
害,1671,harm,mansion; house; grow up; mouth,口,1,harm,
轄,1672,control,car; harm; mansion; house; grow up; mouth,口,1,control,
