kanji,heisig_number,heisig_keyword,heisig_components,kml_primitives,primitive_count,cluster_components,collapse_to
況,156,but of course,water; water droplets; water pistol; elder brother; teenager; mouth; human legs,水|口|legs,3,but of course,
河,157,river,water; water droplets; water pistol; can; street; nail; spike; mouth,水|口,2,river,
泊,158,overnight,water; water droplets; water pistol; white; dove,水,1,overnight,
湖,159,lake,water; water droplets; water pistol; uncivilized; zombie; old; tombstone; gravestone; church; ten; needle; mouth; moon,水|十|口|月,5,lake,
測,160,fathom,water; water droplets; water pistol; rule; shell; sword; sabre; saber,水|貝|目|legs|split,5,fathom,
土,161,soil,dirt; ground,ground,1,soil,
吐,162,spit,mouth; soil; dirt; ground,口|土,2,spit,
圧,163,pressure,cliff; soil; dirt; ground,cliff|土,2,pressure,
埼,164,cape,soil; dirt; ground; strange; large; St. Bernard; street; nail; spike; mouth,土|口,2,cape,
垣,165,hedge,soil; dirt; ground; span; one; ceiling; sun; one; floor; one,土|一|日,3,hedge,
填,166,inlay,,,0,inlay,
圭,167,squared jewel,square jewel; ivy; soil; dirt; ground,土,1,squared jewel,
封,168,seal,ivy; square jewel; soil; dirt; ground; glue,土,1,seal,
涯,169,horizon,water; water droplets; water pistol; cliff; ivy; square jewel; soil; dirt; ground,水|cliff|土,3,horizon,
寺,170,Buddhist temple,buddhist temple; soil; dirt; ground; glue,土,1,Buddhist temple,
時,171,time,sun; Buddhist temple; soil; dirt; ground; glue,日|土,2,time,
均,172,level,soil; dirt; ground; ladle; drop,土|丶,2,level,
火,173,fire,,fire,1,fire,
炎,174,inflammation,fire,火,1,inflammation,
煩,175,anxiety,fire; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,火|一|丶|貝|目|legs|split,7,anxiety,
淡,176,thin,water; water droplets; water pistol; inflammation; fire,水|火,2,thin,
灯,177,lamp,fire; street; nail; spike,火,1,lamp,
畑,178,farm,fire; rice field; brains,火|田,2,farm,
災,179,disaster,stream; flood; fire,火,1,disaster,
灰,180,ashes,cliff; fire,cliff|火,2,ashes,
点,181,spot,fortune-telling; magic wand; augury; mouth; oven-fire; four fire dots,占|four fire dots,1,spot,点
照,182,illuminate,shining; sun; summon; seduce; sword; dagger; mouth; oven-fire; barbecue,昭|灬,2,illuminate,照
魚,183,fish,bound up; rice field; brains; oven-fire; barbecue,⺈|田|灬,1,fish,
漁,184,fishing,water; water droplets; water pistol; fish; bound up; rice field; brains; oven-fire; barbecue,水|田,2,fishing,
里,185,ri,computer; rice field; brains; soil; dirt; ground,田|土,2,ri,
黒,186,black,computer; oven-fire; barbecue,,0,black,
墨,187,black ink,black; computer; oven-fire; barbecue,,0,black ink,
鯉,188,carp,fish; bound up; rice field; brains; oven-fire; barbecue; computer,田,1,carp,
量,189,quantity,nightbreak; sun; one; floor; computer,日|一,2,quantity,
厘,190,rin,cliff; computer,cliff,1,rin,
埋,191,bury,soil; dirt; ground; computer,土,1,bury,
同,192,same,monks; hood; one; mouth,一|口,2,same,
洞,193,den,water; water droplets; water pistol; same; monks; hood; one; mouth,水|一|口,3,den,
胴,194,trunk,moon; same; monks; hood; one; mouth,月|一|口,4,trunk,
向,195,yonder,alien; drop; helmet; hood; mouth,丶|口,2,yonder,
尚,196,esteem,small; little; alien; glass canopy; hood; mouth,小|口,2,esteem,
字,197,character,house; child,子,1,character,
守,198,guard,house; glue,,0,guard,
完,199,perfect,house; beginning; two; human legs,一|legs,2,perfect,
宣,200,proclaim,house; span; one; ceiling; sun; one; floor; one,一|日,2,proclaim,
宵,201,wee hours,house; resemblance; spark; candle; small; little; moon,小|月,3,wee hours,
安,202,relax,house; woman,女,1,relax,
宴,203,banquet,relax; house; sun; tongue wagging; woman,日|女,2,banquet,
寄,204,draw near,house; strange; large; St. Bernard; can; street; nail; spike; mouth,口,1,draw near,
富,205,wealth,house; one; ceiling; mouth; rice field; brains,一|口|田,3,wealth,
貯,206,savings,shell; house; street; nail; spike,貝|目|legs|split,4,savings,
木,207,tree,wood,tree,1,tree,
林,208,grove,tree; wood,木,1,grove,
森,209,forest,tree; wood,木,1,forest,
桂,210,Japanese Judas-tree,Japanese Judas tree; tree; wood; ivy; square jewel; soil; dirt; ground,木|土,2,Japanese Judas-tree,
柏,211,oak,tree; wood; white; dove,木,1,oak,
枠,212,frame,tree; wood; ninety; nine; baseball; ten; needle,木|ball|十,3,frame,
梢,213,treetops,tree; wood; resemblance; spark; candle; small; little; moon,木|小|月,4,treetops,
棚,214,shelf,tree; wood; companion; moon; flesh,木|月,3,shelf,
杏,215,apricot,tree; wood; mouth,木|口,2,apricot,
桐,216,paulownia,tree; wood; same; monks; hood; one; mouth,木|一|口,3,paulownia,
植,217,plant,tree; wood; straightaway; ten; needle; eye; fishhook,木|十|目,3,plant,
椅,218,chair,tree; wood; strange; large; St. Bernard; street; nail; spike; mouth,木|口,2,chair,
枯,219,wither,tree; wood; old; tombstone; gravestone; church; ten; needle; mouth,木|十|口,3,wither,
朴,220,crude,tree; wood; magic wand; augury,木,1,crude,
村,221,town,tree; wood; measure; glue,木,1,town,
