# rank	lemma	count
975	始まり	508
976	程	508
977	移	507
978	見事	507
979	人形	506
980	着陸	506
981	ぬ	505
982	カリフォルニア	505
983	文句	505
984	メアリー	503
985	地元	503
986	委員	503
987	自信	503
988	貴女	503
989	知識	502
990	予約	501
991	椅子	501
992	賛成	499
993	アホ	498
994	操作	498
995	教師	498
996	愛する	497
997	要請	497
998	機嫌	496
999	記者	496
1000	今後	495
1001	引く	495
1002	伝説	494
1003	主張	493
1004	アンディ	491
1005	自ら	491
1006	降る	491
1007	死者	490
1008	あきらめる	489
1009	アリス	489
1010	ばあ	488
1011	議論	487
1012	証人	486
1013	一般	483
1014	先週	483
1015	放射	482
1016	程度	482
1017	アーサー	480
1018	休暇	480
1019	強力	480
1020	有難う	480
1021	身元	480
1022	同時	479
1023	拷問	478
1024	出口	477
1025	決断	476
1026	状	476
1027	大尉	474
1028	小僧	473
1029	アナタ	472
1030	態度	472
1031	記念	472
1032	非難	472
1033	投資	471
1034	危機	470
1035	反	470
1036	世紀	469
1037	企業	469
1038	四	468
1039	一方	467
1040	動ける	467
1041	接近	467
1042	作る	466
1043	否定	465
1044	ジュリア	464
1045	保管	464
1046	源	464
1047	吉森	462
1048	燃料	462
1049	道具	459
1050	順調	459
1051	朝食	457
1052	環境	456
1053	令状	455
1054	アーマン	454
1055	午前	454
1056	動機	453
1057	援護	453
1058	売春	452
1059	天国	450
1060	指導	450
1061	この世	449
1062	売れる	449
1063	門	449
1064	院	449
1065	代表	448
1066	投票	448
1067	地上	447
1068	最善	447
1069	帝国	446
1070	手助け	446
1071	数学	446
1072	婚約	445
1073	選手	445
1074	保障	444
1075	聞く	444
1076	自動	444
1077	休憩	442
1078	呼び出	442
1079	策	442
1080	中尉	441
1081	作品	441
1082	伝言	440
1083	夜中	440
1084	影	440
1085	経営	440
1086	送り	440
1087	安	438
1088	番組	438
1089	種類	438
1090	外れる	437
1091	手遅れ	437
1092	アル	436
1093	ジュリアン	435
1094	似合	435
1095	科	435
1096	警戒	435
1097	基本	434
1098	犯行	434
1099	読める	433
1100	警報	432
1101	不足	431
1102	同士	430
1103	動揺	429
1104	対応	429
1105	手伝い	429
1106	白人	429
1107	人殺し	428
1108	初	428
1109	放	428
1110	放す	428
1111	推測	427
1112	国民	426
1113	演奏	426
1114	航空	426
1115	係	425
1116	屋根	425
1117	神々	424
1118	自宅	423
1119	中毒	422
1120	回収	422
1121	正	422
1122	作り	421
1123	市場	421
1124	特殊	421
1125	保	419
1126	送信	419
1127	下る	418
1128	国境	418
1129	殺し屋	418
1130	芸術	418
1131	アイス	417
1132	年代	417
1133	資料	417
1134	飲み物	417
1135	宝石	416
1136	正当	416
1137	艦	416
1138	見当	416
1139	親しい	416
1140	単なる	414
1141	感覚	414
1142	諜報	414
1143	夢中	413
1144	放送	413
1145	老人	413
1146	配置	413
1147	支持	412
1148	告白	411
1149	来れる	411
1150	教育	410
1151	趣味	410
1152	従業	409
1153	看護	409
1154	候補	407
1155	利益	407
1156	寄	407
1157	地区	406
1158	着ける	406
1159	農場	406
1160	金曜	406
1161	黒人	406
1162	臆病	405
1163	術	405
1164	家庭	403
1165	認識	403
1166	近所	402
1167	中心	400
1168	取得	400
1169	波	400
1170	アニー	399
1171	接続	399
1172	来週	399
1173	天	398
1174	若者	397
1175	今年	396
1176	分ける	396
1177	大金	396
1178	観察	396
1179	使命	395
1180	速度	395
1181	数字	393
1182	独り	393
1183	中身	392
1184	座る	392
1185	継	391
1186	不幸	390
1187	世間	390
1188	応援	390
1189	気味	389
1190	済み	389
1191	理論	388
1192	降	388
1193	不能	387
1194	外出	387
1195	成	387
1196	権力	387
1197	訪問	387
1198	貴重	387
1199	処分	386
1200	阻止	386
1201	少佐	385
1202	両手	384
1203	優れる	384
1204	共有	383
1205	載	383
1206	死刑	382
1207	余計	381
1208	権限	381
1209	深刻	381
1210	無罪	381
1211	対策	380
1212	運動	380
1213	岩	379
1214	東京	378
1215	浮気	378
1216	登録	378
1217	あんまり	377
1218	か月	377
1219	発作	377
1220	輸送	377
1221	中央	376
1222	集団	376
1223	かた	375
1224	下げ	375
1225	何百	375
1226	加	375
1227	限界	375
1228	反乱	374
1229	含む	374
1230	何事	373
1231	相当	372
1232	全力	370
1233	念	370
1234	着替える	370
1235	賞	370
1236	解除	369
1237	計算	369
1238	金属	368
1239	とりあえず	367
1240	一言	367
1241	不満	367
1242	代理	367
1243	去年	367
1244	財布	367
1245	連続	366
1246	イタリア	365
1247	最新	365
1248	人気	364
1249	生き延びる	364
1250	関与	364
1251	助手	363
1252	送る	363
1253	通常	363
1254	一族	362
1255	反逆	362
1256	報酬	362
1257	巡査	362
1258	署名	362
1259	過ち	362
1260	余地	361
1261	民間	361
1262	美人	361
1263	進行	361
1264	選挙	361
1265	初め	360
1266	悲劇	360
1267	派	360
1268	財産	360
1269	事業	359
1270	共通	359
1271	合図	359
1272	滞在	359
1273	離す	359
1274	ア	358
1275	国際	358
1276	当時	358
1277	含める	357
1278	電源	357
1279	強制	356
1280	結	356
1281	五	355
1282	公平	355
1283	尾行	355
1284	正解	355
1285	潜入	355
1286	革命	355
1287	公式	354
1288	復活	354
1289	合衆	353
1290	英国	353
1291	軍事	353
1292	勿論	352
1293	物事	352
1294	存	351
1295	一瞬	350
1296	単に	350
1297	地面	350
1298	体験	349
1299	共同	349
1300	支え	348
1301	用事	348
1302	販売	348
1303	な	347
1304	ら	347
1305	業	347
1306	火事	347
1307	身分	347
1308	する	346
1309	産	346
1310	車両	346
1311	集会	346
1312	アイ	345
1313	マリア	345
1314	入手	345
1315	叔母	345
1316	向き	345
1317	呪文	345
1318	挑戦	345
1319	美味しい	345
1320	判事	344
1321	女房	344
1322	小説	344
1323	資格	344
1324	配達	344
1325	医学	343
1326	通過	343
1327	重大	343
1328	やる	342
1329	アマンダ	342
1330	正常	342
1331	製	342
1332	バウアー	341
1333	用心	341
1334	軍人	341
1335	アーロン	340
1336	不要	340
1337	期間	340
1338	調整	340
1339	馬鹿げる	340
1340	執行	339
1341	必死	339
1342	クリア	338
1343	不正	338
1344	防	338
1345	乗り越える	337
1346	創造	337
1347	用件	337
1348	薬物	337
1349	規模	337
1350	造	337
1351	悪化	336
1352	歩	336
1353	現	336
1354	置き去り	336
1355	言い訳	336
1356	際	336
1357	制服	335
1358	申し上げる	335
1359	顧客	335
1360	信仰	334
1361	無人	334
1362	護衛	334
1363	当局	333
1364	告発	332
1365	変身	332
1366	日々	332
1367	設定	331
1368	基	330
1369	工作	330
1370	一員	329
1371	処刑	329
1372	役割	329
1373	質	329
1374	女子	328
1375	戦う	328
1376	発砲	328
1377	建てる	327
1378	真面目	327
1379	電子	327
1380	風呂	327
1381	結論	326
1382	予測	325
1383	修正	325
1384	上げる	324
1385	対象	324
1386	手錠	324
1387	族	324
1388	警	324
1389	土曜	323
1390	実現	322
1391	種族	322
1392	転	322
1393	半沢	321
1394	牧師	321
1395	生き物	321
1396	区	320
1397	時点	320
1398	リア	319
1399	売り	319
1400	指令	319
1401	舞台	319
1402	交通	318
1403	美術	318
1404	自慢	318
1405	並	317
1406	アナ	316
1407	上昇	316
1408	勤務	316
1409	料	316
1410	野朗	316
1411	作用	315
1412	心理	315
1413	検討	315
1414	楽しめる	315
1415	世代	314
1416	前進	314
1417	隊長	314
1418	隠れ家	314
1419	死因	313
1420	決まり	313
1421	続く	313
1422	繭子	313
1423	酸素	313
1424	凶器	312
1425	助言	312
1426	国王	312
1427	外科	312
1428	引き受ける	312
1429	取り引き	311
1430	支払い	311
1431	此処	311
1432	月曜	310
1433	背後	310
1434	図書	308
1435	症状	308
1436	話しかける	308
1437	ジュニア	307
1438	公開	307
1439	商売	307
1440	理想	307
1441	転送	307
1442	隔離	307
1443	派遣	306
1444	置く	306
1445	乗客	305
1446	初めまして	305
1447	虐殺	305
1448	表現	305
1449	年齢	304
1450	面会	304
1451	使い	303
1452	報道	303
1453	悪党	303
1454	本人	303
1455	アウト	302
1456	アブ	302
1457	議会	302
1458	下り	301
1459	分離	301
1460	印象	301
1461	正面	301
1462	発信	301
1463	見張る	301
1464	ヵ月	300
1465	上院	300
1466	挙げる	300
1467	戦略	299
1468	あた	298
1469	一切	298
1470	引退	298
1471	心当たり	298
1472	期	298
1473	皇帝	298
1474	艦長	298
1475	金融	298
1476	魔術	298
1477	何千	297
1478	婦人	297
1479	アレク	296
1480	供給	296
1481	同盟	296
1482	商品	296
1483	毎晩	296
1484	祖母	296
1485	庁	295
1486	職員	295
1487	類	295
1488	正式	294
1489	群れ	294
1490	近づける	294
1491	世	293
1492	世の中	293
1493	王女	293
1494	テア	292
1495	ノア	292
1496	共和	292
1497	自転	292
1498	引っ越	291
1499	死人	291
1500	直ちに	291
1501	級	291
1502	進化	291
1503	アイリス	290
1504	アディ	290
1505	充分	290
1506	北部	290
1507	祝福	290
1508	部長	290
1509	給料	289
1510	見る	289
1511	黄色	289
1512	同情	288
1513	外国	288
1514	作動	287
1515	大臣	287
1516	手掛かり	287
1517	校長	287
1518	話題	287
1519	恋愛	286
1520	屋敷	285
1521	建設	285
1522	成果	285
1523	検索	285
1524	追加	285
1525	連行	285
1526	食う	285
1527	数百	284
1528	積	284
1529	日曜	283
1530	界	283
1531	発言	283
1532	苦手	283
1533	電車	283
1534	及	282
1535	司法	282
1536	株	282
1537	画像	282
1538	突入	282
1539	キャリア	281
1540	出番	281
1541	双子	281
1542	市	281
1543	当たり前	281
1544	放棄	281
1545	玄関	281
1546	共犯	280
1547	具体	280
1548	指名	280
1549	救世	280
1550	直面	280
1551	笑い声	280
1552	野球	280
1553	間抜け	280
1554	儀式	279
1555	圧力	279
1556	死ぬ	279
1557	聖書	279
1558	周辺	278
1559	帰	278
1560	比べる	278
1561	生涯	278
1562	高度	278
1563	大会	277
1564	職場	277
1565	アドバイス	275
1566	切る	275
1567	最中	275
1568	知恵	275
1569	融資	275
1570	議長	275
1571	信念	274
1572	借金	274
1573	入院	274
1574	企	273
1575	感動	273
1576	整理	273
1577	時刻	273
1578	検察	273
1579	検死	273
1580	資産	273
1581	アリ	272
1582	引け	272
1583	アーメン	271
1584	承認	271
1585	録	271
1586	解雇	270
1587	買い物	270
1588	高速	270
1589	アリバイ	269
1590	天気	269
1591	昼食	269
1592	再生	268
1593	古代	268
1594	引き金	268
1595	港	268
1596	獲物	268
1597	一同	267
1598	宗教	267
1599	役目	267
1600	降伏	267
1601	ブライアン	266
1602	領域	266
1603	屋上	265
1604	暴行	264
1605	検事	264
1606	渡	264
1607	発明	264
1608	社員	264
1609	静流	264
1610	半年	263
1611	あたり	262
1612	入り口	262
1613	同然	262
1614	悪人	262
1615	持ち主	262
1616	達成	262
1617	アフリカ	261
1618	受信	261
1619	弱点	261
1620	戦場	261
1621	消す	261
1622	物理	261
1623	評議	261
1624	進展	261
1625	あちこち	260
1626	主任	260
1627	手順	260
1628	菓子	260
1629	谷	260
1630	高級	260
1631	ウィリアム	259
1632	下手	259
1633	無効	259
1634	防御	259
1635	電力	259
1636	分間	258
1637	十字	258
1638	回る	258
1639	複数	258
1640	少々	257
1641	広げる	257
1642	廊下	257
1643	死後	257
1644	真ん中	257
1645	事項	256
1646	地点	256
1647	発電	256
1648	習	256
1649	選べる	256
1650	飛ぶ	256
1651	下ろす	255
1652	伝統	255
1653	処置	255
1654	新人	255
1655	サマリア	254
1656	代償	254
1657	保存	254
1658	愛情	254
1659	評判	254
1660	昇進	253
1661	構築	253
1662	相応	253
1663	解読	253
1664	誠人	253
1665	住民	252
1666	党	252
1667	周囲	252
1668	強化	252
1669	手続き	252
1670	直前	252
1671	親愛	252
1672	偽物	251
1673	博物	251
1674	寄付	251
1675	拡大	251
1676	競争	251
1677	随分	251
1678	丿	250
1679	以下	250
1680	意気	250
1681	永久	250
1682	消防	250
1683	無用	250
1684	神聖	250
1685	能	250
1686	公表	249
1687	大物	249
1688	製造	249
1689	済む	248
1690	素早い	248
1691	肉体	248
1692	葉	248
1693	都	248
1694	録音	248
1695	内側	247
1696	年寄り	247
1697	誘導	247
1698	起訴	247
1699	友情	246
1700	特徴	246
1701	やる気	245
1702	不法	245
1703	取り上げ	245
1704	本日	245
1705	自体	245
1706	アイザック	244
1707	予備	244
1708	展開	244
1709	手下	244
1710	アンジェラ	243
1711	カ月	243
1712	偵察	243
1713	利口	243
1714	匿名	243
1715	部品	243
1716	除	243
1717	中佐	242
1718	優勝	242
1719	分野	242
1720	国防	242
1721	忠実	242
1722	思い	242
1723	果て	242
1724	王妃	242
1725	黄金	242
1726	争い	241
1727	会計	241
1728	取締	241
1729	懸命	241
1730	拍手	241
1731	提出	241
1732	登場	241
1733	土	240
1734	売人	240
1735	手伝う	240
1736	人工	239
1737	任	239
1738	再開	239
1739	地位	239
1740	座標	239
1741	色んな	239
1742	作家	238
1743	出会い	238
1744	至急	238
1745	護	238
1746	部門	238
1747	出入り	237
