kanji,joyo_index,radical,strokes,grade,english_meaning,on_kana,kun_kana
悲,1697,心,12,3,sad,ヒ,かな-しい、かな-しむ
扉,1698,戶,12,S,front door,ヒ,とびら
費,1699,貝,12,5,expense,ヒ,つい-やす、つい-える
碑,1700,石,14,S,tombstone,ヒ,
罷,1701,网,15,S,quit,ヒ,
避,1702,辵,16,S,evade,ヒ,さ-ける
尾,1703,尸,7,S,tail,ビ,お
眉,1704,目,9,S,eyebrow,ビ、（ミ）,まゆ
美,1705,羊,9,3,beauty,ビ,うつく-しい
備,1706,人,12,5,provide,ビ,そな-える、そな-わる
微,1707,彳,13,S,delicate,ビ,
鼻,1708,鼻,14,3,nose,ビ,はな
膝,1709,肉,15,S,knee,,ひざ
肘,1710,肉,7,S,elbow,,ひじ
匹,1711,匸,4,S,equal,ヒツ,ひき
必,1712,心,5,4,without fail,ヒツ,かなら-ず
泌,1713,水,8,S,ooze,ヒツ、ヒ,
筆,1714,竹,12,3,writing brush,ヒツ,ふで
姫,1715,女,10,S,princess,,ひめ
百,1716,白,6,1,hundred,ヒャク,
氷,1717,水,5,3,ice,ヒョウ,こおり、ひ
表,1718,衣,8,3,express,ヒョウ,おもて、あらわ-す、あらわ-れる
俵,1719,人,10,6,bag,ヒョウ,たわら
票,1720,示,11,4,ballot,ヒョウ,
評,1721,言,12,5,evaluate,ヒョウ,
漂,1722,水,14,S,drift,ヒョウ,ただよ-う
標,1723,木,15,4,signpost,ヒョウ,
苗,1724,艸,8,S,seedling,ビョウ,なえ、（なわ）
秒,1725,禾,9,3,second (part of time),ビョウ,
病,1726,疒,10,3,sick,ビョウ、（ヘイ）,や-む、やまい
描,1727,手,11,S,sketch,ビョウ,えが-く、か-く
猫,1728,犬,11,S,cat,ビョウ,ねこ
品,1729,口,9,3,article,ヒン,しな
浜,1730,水,10,S,seacoast,ヒン,はま
貧,1731,貝,11,5,poor,ヒン、ビン,まず-しい
賓,1732,貝,15,S,V.I.P.,ヒン,
頻,1733,頁,17,S,repeatedly,ヒン,
敏,1734,攴,10,S,cleverness,ビン,
瓶,1735,瓦,11,S,flower pot,ビン,
不,1736,一,4,4,non-,フ、ブ,
夫,1737,大,4,4,husband,フ、（フウ）,おっと
父,1738,父,4,2,father,フ,ちち
